2021-04-08 11:54:29.714842 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populating workers...
2021-04-08 11:54:29.715081 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populated
2021-04-08 11:54:29.715231 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populating workers...
2021-04-08 11:54:29.715396 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populated
2021-04-08 11:54:29.715501 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populating workers...
2021-04-08 11:54:29.715602 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populated
2021-04-08 11:54:29.715701 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populating workers...
2021-04-08 11:54:29.715803 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populated
2021-04-08 11:54:29.715902 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populating workers...
2021-04-08 11:54:29.715999 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populated
2021-04-08 11:54:29.716099 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populating workers...
2021-04-08 11:54:29.716198 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populated
2021-04-08 11:54:29.716298 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populating workers...
2021-04-08 11:54:29.716395 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populated
2021-04-08 11:54:29.716543 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populating workers...
2021-04-08 11:54:29.716641 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populated
2021-04-08 11:54:29.716741 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populating workers...
2021-04-08 11:54:29.716838 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populated
2021-04-08 11:54:29.716935 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populating workers...
2021-04-08 11:54:29.717031 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populated
2021-04-08 11:54:54.737929 CEST | MaxReturn                  509.744
2021-04-08 11:54:54.738110 CEST | MinReturn                    0
2021-04-08 11:54:54.738293 CEST | Iteration                    5
2021-04-08 11:54:54.738476 CEST | AverageDiscountedReturn    261
2021-04-08 11:54:54.738659 CEST | AverageReturn              316.747
2021-04-08 11:54:54.738841 CEST | ExplainedVariance           -0.316675
2021-04-08 11:54:54.739023 CEST | NumTrajs                    13
2021-04-08 11:54:54.739228 CEST | Entropy                      1.38581
2021-04-08 11:54:54.739408 CEST | Perplexity                   3.99805
2021-04-08 11:54:54.739589 CEST | StdReturn                  182.967
2021-04-08 11:54:54.739769 CEST | MaxReturn                  699.714
2021-04-08 11:54:54.739949 CEST | MinReturn                   59.9337
2021-04-08 11:54:54.740127 CEST | Iteration                    5
2021-04-08 11:54:54.740319 CEST | AverageDiscountedReturn    189.517
2021-04-08 11:54:54.740521 CEST | AverageReturn              215.66
2021-04-08 11:54:54.740704 CEST | ExplainedVariance           -0.103522
2021-04-08 11:54:54.740891 CEST | NumTrajs                    19
2021-04-08 11:54:54.741074 CEST | Entropy                      1.38581
2021-04-08 11:54:54.741251 CEST | Perplexity                   3.99805
2021-04-08 11:54:54.741432 CEST | StdReturn                  114.147
2021-04-08 11:54:54.741611 CEST | MaxReturn                  399.871
2021-04-08 11:54:54.741794 CEST | MinReturn                   19.978
2021-04-08 11:54:54.741974 CEST | Iteration                    5
2021-04-08 11:54:54.742152 CEST | AverageDiscountedReturn    175.038
2021-04-08 11:54:54.742329 CEST | AverageReturn              200.928
2021-04-08 11:54:54.742510 CEST | ExplainedVariance           -0.0127134
2021-04-08 11:54:54.742690 CEST | NumTrajs                    19
2021-04-08 11:54:54.742871 CEST | Entropy                      1.38581
2021-04-08 11:54:54.743053 CEST | Perplexity                   3.99805
2021-04-08 11:54:54.743270 CEST | StdReturn                  140.988
2021-04-08 11:54:54.743452 CEST | MaxReturn                  609.9
2021-04-08 11:54:54.743633 CEST | MinReturn                    9.98633
2021-04-08 11:54:54.743814 CEST | Iteration                    5
2021-04-08 11:54:54.743997 CEST | AverageDiscountedReturn    206.657
2021-04-08 11:54:54.744190 CEST | AverageReturn              243.612
2021-04-08 11:54:54.744372 CEST | ExplainedVariance            0.375834
2021-04-08 11:54:54.744557 CEST | NumTrajs                    16
2021-04-08 11:54:54.744748 CEST | Entropy                      1.38581
2021-04-08 11:54:54.744933 CEST | Perplexity                   3.99805
2021-04-08 11:54:54.745117 CEST | StdReturn                  163.93
2021-04-08 11:54:54.745307 CEST | MaxReturn                  569.817
2021-04-08 11:54:54.745489 CEST | MinReturn                   29.9481
2021-04-08 11:54:54.745671 CEST | Iteration                    5
2021-04-08 11:54:54.745851 CEST | AverageDiscountedReturn    160.192
2021-04-08 11:54:54.746035 CEST | AverageReturn              178.049
2021-04-08 11:54:54.746219 CEST | ExplainedVariance            0.483724
2021-04-08 11:54:54.746402 CEST | NumTrajs                    22
2021-04-08 11:54:54.746584 CEST | Entropy                      1.38581
2021-04-08 11:54:54.746780 CEST | Perplexity                   3.99805
2021-04-08 11:54:54.746967 CEST | StdReturn                   92.8266
2021-04-08 11:54:54.747169 CEST | MaxReturn                  359.858
2021-04-08 11:54:54.747352 CEST | MinReturn                    0
2021-04-08 11:54:54.747535 CEST | Iteration                    5
2021-04-08 11:54:54.747714 CEST | AverageDiscountedReturn    184.903
2021-04-08 11:54:54.747894 CEST | AverageReturn              212.649
2021-04-08 11:54:54.748076 CEST | ExplainedVariance            0.148711
2021-04-08 11:54:54.748271 CEST | NumTrajs                    18
2021-04-08 11:54:54.748454 CEST | Entropy                      1.38581
2021-04-08 11:54:54.748638 CEST | Perplexity                   3.99805
2021-04-08 11:54:54.748822 CEST | StdReturn                  139.121
2021-04-08 11:54:54.749004 CEST | MaxReturn                  619.791
2021-04-08 11:54:54.749189 CEST | MinReturn                    9.98215
2021-04-08 11:54:54.749375 CEST | AveragePolicyStd             0.967411
2021-04-08 11:54:54.749559 CEST | AveragePolicyStd             0.967411
2021-04-08 11:54:54.749743 CEST | AveragePolicyStd             0.967411
2021-04-08 11:54:54.749926 CEST | AveragePolicyStd             0.967411
2021-04-08 11:54:54.750110 CEST | AveragePolicyStd             0.967411
2021-04-08 11:54:54.750295 CEST | AveragePolicyStd             0.967411
2021-04-08 11:54:54.750479 CEST | AveragePolicyStd             0.967411
2021-04-08 11:54:54.750664 CEST | AveragePolicyStd             0.967411
2021-04-08 11:54:54.750847 CEST | AveragePolicyStd             0.967411
2021-04-08 11:54:54.751031 CEST | AveragePolicyStd             0.967411
2021-04-08 11:54:54.751246 CEST | Iteration                    6
2021-04-08 11:54:54.751435 CEST | AverageDiscountedReturn    222.735
2021-04-08 11:54:54.751620 CEST | AverageReturn              265.186
2021-04-08 11:54:54.751804 CEST | ExplainedVariance            0.320856
2021-04-08 11:54:54.751987 CEST | NumTrajs                    15
2021-04-08 11:54:54.752172 CEST | Entropy                      1.381
2021-04-08 11:54:54.752356 CEST | Perplexity                   3.97888
2021-04-08 11:54:54.752540 CEST | StdReturn                  169.962
2021-04-08 11:54:54.752740 CEST | MaxReturn                  599.844
2021-04-08 11:54:54.752910 CEST | MinReturn                    9.98422
2021-04-08 11:54:54.753065 CEST | Iteration                    6
2021-04-08 11:54:54.753219 CEST | AverageDiscountedReturn    274.945
2021-04-08 11:54:54.753372 CEST | AverageReturn              339.002
2021-04-08 11:54:54.753526 CEST | ExplainedVariance            0.483441
2021-04-08 11:54:54.753680 CEST | NumTrajs                    13
2021-04-08 11:54:54.753833 CEST | Entropy                      1.381
2021-04-08 11:54:54.753987 CEST | Perplexity                   3.97888
2021-04-08 11:54:54.754140 CEST | StdReturn                  195.978
2021-04-08 11:54:54.754295 CEST | MaxReturn                  699.605
2021-04-08 11:54:54.754449 CEST | MinReturn                   49.9572
2021-04-08 11:54:54.754603 CEST | Iteration                    6
2021-04-08 11:54:54.754757 CEST | AverageDiscountedReturn    377.759
2021-04-08 11:54:54.754911 CEST | AverageReturn              502.013
2021-04-08 11:54:54.755067 CEST | ExplainedVariance            0.444951
2021-04-08 11:54:54.755279 CEST | NumTrajs                     9
2021-04-08 11:54:54.755434 CEST | Entropy                      1.381
2021-04-08 11:54:54.755589 CEST | Perplexity                   3.97888
2021-04-08 11:54:54.755742 CEST | StdReturn                  250.511
2021-04-08 11:54:54.755897 CEST | MaxReturn                  999.834
2021-04-08 11:54:54.756052 CEST | MinReturn                  189.863
2021-04-08 11:54:54.756207 CEST | Iteration                    6
2021-04-08 11:54:54.756361 CEST | AverageDiscountedReturn    316.929
2021-04-08 11:54:54.756516 CEST | AverageReturn              399.81
2021-04-08 11:54:54.756671 CEST | ExplainedVariance            0.465078
2021-04-08 11:54:54.756825 CEST | NumTrajs                    11
2021-04-08 11:54:54.756979 CEST | Entropy                      1.381
2021-04-08 11:54:54.757134 CEST | Perplexity                   3.97888
2021-04-08 11:54:54.757289 CEST | StdReturn                  203.586
2021-04-08 11:54:54.757442 CEST | MaxReturn                  819.794
2021-04-08 11:54:54.757596 CEST | MinReturn                   89.8358
2021-04-08 11:54:54.757749 CEST | Iteration                    6
2021-04-08 11:54:54.757902 CEST | AverageDiscountedReturn    263.84
2021-04-08 11:54:54.758055 CEST | AverageReturn              325.982
2021-04-08 11:54:54.758209 CEST | ExplainedVariance           -0.129002
2021-04-08 11:54:54.758361 CEST | NumTrajs                    13
2021-04-08 11:54:54.758514 CEST | Entropy                      1.381
2021-04-08 11:54:54.758667 CEST | Perplexity                   3.97888
2021-04-08 11:54:54.758821 CEST | StdReturn                  204.769
2021-04-08 11:54:54.758974 CEST | MaxReturn                  669.751
2021-04-08 11:54:54.759155 CEST | MinReturn                    9.98585
2021-04-08 11:54:54.759311 CEST | Iteration                    6
2021-04-08 11:54:54.759464 CEST | AverageDiscountedReturn    218.674
2021-04-08 11:54:54.759617 CEST | AverageReturn              263.58
2021-04-08 11:54:54.759772 CEST | ExplainedVariance            0.522188
2021-04-08 11:54:54.759925 CEST | NumTrajs                    16
2021-04-08 11:54:54.760079 CEST | Entropy                      1.381
2021-04-08 11:54:54.760236 CEST | Perplexity                   3.97888
2021-04-08 11:54:54.760374 CEST | StdReturn                  189.43
2021-04-08 11:54:54.760499 CEST | MaxReturn                  559.849
2021-04-08 11:54:54.760626 CEST | MinReturn                    9.98559
2021-04-08 11:54:54.760761 CEST | Iteration                    6
2021-04-08 11:54:54.760888 CEST | AverageDiscountedReturn    229.294
2021-04-08 11:54:54.761012 CEST | AverageReturn              273.19
2021-04-08 11:54:54.761137 CEST | ExplainedVariance            0.475424
2021-04-08 11:54:54.761264 CEST | NumTrajs                    15
2021-04-08 11:54:54.761392 CEST | Entropy                      1.381
2021-04-08 11:54:54.761518 CEST | Perplexity                   3.97888
2021-04-08 11:54:54.761644 CEST | StdReturn                  165.782
2021-04-08 11:54:54.761772 CEST | MaxReturn                  499.809
2021-04-08 11:54:54.761896 CEST | MinReturn                    9.98656
2021-04-08 11:54:54.762020 CEST | Iteration                    6
2021-04-08 11:54:54.762144 CEST | AverageDiscountedReturn    156.69
2021-04-08 11:54:54.762270 CEST | AverageReturn              177.123
2021-04-08 11:54:54.762395 CEST | ExplainedVariance            0.231332
2021-04-08 11:54:54.762520 CEST | NumTrajs                    22
2021-04-08 11:54:54.762645 CEST | Entropy                      1.381
2021-04-08 11:54:54.762768 CEST | Perplexity                   3.97888
2021-04-08 11:54:54.762892 CEST | StdReturn                  123.079
2021-04-08 11:54:54.763016 CEST | MaxReturn                  369.785
2021-04-08 11:54:54.763184 CEST | MinReturn                    9.98063
2021-04-08 11:54:54.763312 CEST | Iteration                    6
2021-04-08 11:54:54.763435 CEST | AverageDiscountedReturn    254.789
2021-04-08 11:54:54.763557 CEST | AverageReturn              326.253
2021-04-08 11:54:54.763680 CEST | ExplainedVariance          -22.2819
2021-04-08 11:54:54.763804 CEST | NumTrajs                    14
2021-04-08 11:54:54.763929 CEST | Entropy                      1.381
2021-04-08 11:54:54.764052 CEST | Perplexity                   3.97888
2021-04-08 11:54:54.764175 CEST | StdReturn                  264.598
2021-04-08 11:54:54.764298 CEST | MaxReturn                  869.643
2021-04-08 11:54:54.764422 CEST | MinReturn                    0
2021-04-08 11:54:54.764546 CEST | Iteration                    6
2021-04-08 11:54:54.764672 CEST | AverageDiscountedReturn    205.227
2021-04-08 11:54:54.764794 CEST | AverageReturn              242.331
2021-04-08 11:54:54.764919 CEST | ExplainedVariance            0.113924
2021-04-08 11:54:54.765043 CEST | NumTrajs                    16
2021-04-08 11:54:54.765166 CEST | Entropy                      1.381
2021-04-08 11:54:54.765289 CEST | Perplexity                   3.97888
2021-04-08 11:54:54.765412 CEST | StdReturn                  173.637
2021-04-08 11:54:54.765534 CEST | MaxReturn                  789.679
2021-04-08 11:54:54.765658 CEST | MinReturn                   29.9544
2021-04-08 11:54:54.765782 CEST | AveragePolicyStd             0.962772
2021-04-08 11:54:54.765907 CEST | AveragePolicyStd             0.962772
2021-04-08 11:54:54.766033 CEST | AveragePolicyStd             0.962772
2021-04-08 11:54:54.766155 CEST | AveragePolicyStd             0.962772
2021-04-08 11:54:54.766278 CEST | AveragePolicyStd             0.962772
2021-04-08 11:54:54.766400 CEST | AveragePolicyStd             0.962772
2021-04-08 11:54:54.766523 CEST | AveragePolicyStd             0.962772
2021-04-08 11:54:54.766646 CEST | AveragePolicyStd             0.962772
2021-04-08 11:54:54.766767 CEST | AveragePolicyStd             0.962772
2021-04-08 11:54:54.766899 CEST | AveragePolicyStd             0.962772
2021-04-08 11:54:54.767020 CEST | Iteration                    7
2021-04-08 11:54:54.767187 CEST | AverageDiscountedReturn    420.012
2021-04-08 11:54:54.767310 CEST | AverageReturn              569.773
2021-04-08 11:54:54.767431 CEST | ExplainedVariance           -0.456975
2021-04-08 11:54:54.767552 CEST | NumTrajs                     7
2021-04-08 11:54:54.767673 CEST | Entropy                      1.37618
2021-04-08 11:54:54.767794 CEST | Perplexity                   3.95975
2021-04-08 11:54:54.767915 CEST | StdReturn                  236.142
2021-04-08 11:54:54.768035 CEST | MaxReturn                  899.775
2021-04-08 11:54:54.768167 CEST | MinReturn                  209.844
2021-04-08 11:54:54.768290 CEST | Iteration                    7
2021-04-08 11:54:54.768412 CEST | AverageDiscountedReturn    377.033
2021-04-08 11:54:54.768533 CEST | AverageReturn              500.859
2021-04-08 11:54:54.768655 CEST | ExplainedVariance            0.0999868
2021-04-08 11:54:54.768774 CEST | NumTrajs                     9
2021-04-08 11:54:54.768896 CEST | Entropy                      1.37618
2021-04-08 11:54:54.769017 CEST | Perplexity                   3.95975
2021-04-08 11:54:54.769139 CEST | StdReturn                  249.607
2021-04-08 11:54:54.769263 CEST | MaxReturn                  999.449
2021-04-08 11:54:54.769382 CEST | MinReturn                  209.908
2021-04-08 11:54:54.769503 CEST | Iteration                    7
2021-04-08 11:54:54.769623 CEST | AverageDiscountedReturn    329.792
2021-04-08 11:54:54.769743 CEST | AverageReturn              445.344
2021-04-08 11:54:54.769863 CEST | ExplainedVariance            0.329621
2021-04-08 11:54:54.769982 CEST | NumTrajs                     9
2021-04-08 11:54:54.770103 CEST | Entropy                      1.37618
2021-04-08 11:54:54.770222 CEST | Perplexity                   3.95975
2021-04-08 11:54:54.770342 CEST | StdReturn                  305.098
2021-04-08 11:54:54.770464 CEST | MaxReturn                  829.542
2021-04-08 11:54:54.770584 CEST | MinReturn                    0
2021-04-08 11:54:54.770704 CEST | Iteration                    7
2021-04-08 11:54:54.770823 CEST | AverageDiscountedReturn    323.875
2021-04-08 11:54:54.770942 CEST | AverageReturn              417.769
2021-04-08 11:54:54.771062 CEST | ExplainedVariance           -0.0269101
2021-04-08 11:54:54.771210 CEST | NumTrajs                    10
2021-04-08 11:54:54.771331 CEST | Entropy                      1.37618
2021-04-08 11:54:54.771452 CEST | Perplexity                   3.95975
2021-04-08 11:54:54.771571 CEST | StdReturn                  239.134
2021-04-08 11:54:54.771692 CEST | MaxReturn                  879.57
2021-04-08 11:54:54.771813 CEST | MinReturn                    9.98532
2021-04-08 11:54:54.771932 CEST | Iteration                    7
2021-04-08 11:54:54.772052 CEST | AverageDiscountedReturn    360.691
2021-04-08 11:54:54.772171 CEST | AverageReturn              497.277
2021-04-08 11:54:54.772292 CEST | ExplainedVariance            0.427899
2021-04-08 11:54:54.772412 CEST | NumTrajs                     8
2021-04-08 11:54:54.772533 CEST | Entropy                      1.37618
2021-04-08 11:54:54.772654 CEST | Perplexity                   3.95975
2021-04-08 11:54:54.772774 CEST | StdReturn                  319.511
2021-04-08 11:54:54.772894 CEST | MaxReturn                  969.638
2021-04-08 11:54:54.773014 CEST | MinReturn                   19.9725
2021-04-08 11:54:54.773132 CEST | Iteration                    7
2021-04-08 11:54:54.773252 CEST | AverageDiscountedReturn    370.26
2021-04-08 11:54:54.773371 CEST | AverageReturn              494.749
2021-04-08 11:54:54.773492 CEST | ExplainedVariance            0.182338
2021-04-08 11:54:54.773612 CEST | NumTrajs                     8
2021-04-08 11:54:54.773733 CEST | Entropy                      1.37618
2021-04-08 11:54:54.773851 CEST | Perplexity                   3.95975
2021-04-08 11:54:54.773969 CEST | StdReturn                  267.709
2021-04-08 11:54:54.774088 CEST | MaxReturn                  969.647
2021-04-08 11:54:54.774206 CEST | MinReturn                   69.9158
2021-04-08 11:54:54.774326 CEST | Iteration                    7
2021-04-08 11:54:54.774445 CEST | AverageDiscountedReturn    354.932
2021-04-08 11:54:54.774562 CEST | AverageReturn              494.849
2021-04-08 11:54:54.774682 CEST | ExplainedVariance           -7.61023
2021-04-08 11:54:54.774799 CEST | NumTrajs                     8
2021-04-08 11:54:54.774916 CEST | Entropy                      1.37618
2021-04-08 11:54:54.775035 CEST | Perplexity                   3.95975
2021-04-08 11:54:54.775195 CEST | StdReturn                  341.212
2021-04-08 11:54:54.775315 CEST | MaxReturn                  939.73
2021-04-08 11:54:54.775440 CEST | MinReturn                   29.9599
2021-04-08 11:54:54.775560 CEST | Iteration                    7
2021-04-08 11:54:54.775679 CEST | AverageDiscountedReturn    311.866
2021-04-08 11:54:54.775799 CEST | AverageReturn              395.271
2021-04-08 11:54:54.775917 CEST | ExplainedVariance            0.205014
2021-04-08 11:54:54.776036 CEST | NumTrajs                    11
2021-04-08 11:54:54.776154 CEST | Entropy                      1.37618
2021-04-08 11:54:54.776272 CEST | Perplexity                   3.95975
2021-04-08 11:54:54.776390 CEST | StdReturn                  212.429
2021-04-08 11:54:54.776511 CEST | MaxReturn                  659.807
2021-04-08 11:54:54.776629 CEST | MinReturn                   49.9161
2021-04-08 11:54:54.776748 CEST | Iteration                    7
2021-04-08 11:54:54.776867 CEST | AverageDiscountedReturn    438.048
2021-04-08 11:54:54.776987 CEST | AverageReturn              594.025
2021-04-08 11:54:54.777107 CEST | ExplainedVariance            0.377611
2021-04-08 11:54:54.777226 CEST | NumTrajs                     7
2021-04-08 11:54:54.777345 CEST | Entropy                      1.37618
2021-04-08 11:54:54.777464 CEST | Perplexity                   3.95975
2021-04-08 11:54:54.777583 CEST | StdReturn                  204.228
2021-04-08 11:54:54.777702 CEST | MaxReturn                  899.494
2021-04-08 11:54:54.777821 CEST | MinReturn                  349.874
2021-04-08 11:54:54.777952 CEST | Iteration                    7
2021-04-08 11:54:54.778105 CEST | AverageDiscountedReturn    287.735
2021-04-08 11:54:54.778257 CEST | AverageReturn              372.321
2021-04-08 11:54:54.778404 CEST | ExplainedVariance            0.254191
2021-04-08 11:54:54.778560 CEST | NumTrajs                    12
2021-04-08 11:54:54.778718 CEST | Entropy                      1.37618
2021-04-08 11:54:54.778874 CEST | Perplexity                   3.95975
2021-04-08 11:54:54.779031 CEST | StdReturn                  269.274
2021-04-08 11:54:54.779212 CEST | MaxReturn                  899.645
2021-04-08 11:54:54.779364 CEST | MinReturn                    0
2021-04-08 11:54:54.779515 CEST | AveragePolicyStd             0.958145
2021-04-08 11:54:54.779655 CEST | AveragePolicyStd             0.958145
2021-04-08 11:54:54.779816 CEST | AveragePolicyStd             0.958145
2021-04-08 11:54:54.779975 CEST | AveragePolicyStd             0.958145
2021-04-08 11:54:54.780123 CEST | AveragePolicyStd             0.958145
2021-04-08 11:54:54.780280 CEST | AveragePolicyStd             0.958145
2021-04-08 11:54:54.780433 CEST | AveragePolicyStd             0.958145
2021-04-08 11:54:54.780582 CEST | AveragePolicyStd             0.958145
2021-04-08 11:54:54.780730 CEST | AveragePolicyStd             0.958145
2021-04-08 11:54:54.780879 CEST | AveragePolicyStd             0.958145
2021-04-08 11:54:54.781022 CEST | Iteration                    8
2021-04-08 11:54:54.781175 CEST | AverageDiscountedReturn    531.951
2021-04-08 11:54:54.781330 CEST | AverageReturn              807.652
2021-04-08 11:54:54.781475 CEST | ExplainedVariance            0.390267
2021-04-08 11:54:54.781620 CEST | NumTrajs                     5
2021-04-08 11:54:54.781773 CEST | Entropy                      1.37057
2021-04-08 11:54:54.781930 CEST | Perplexity                   3.93759
2021-04-08 11:54:54.782067 CEST | StdReturn                  301.315
2021-04-08 11:54:54.782212 CEST | MaxReturn                  999.661
2021-04-08 11:54:54.782362 CEST | MinReturn                  209.867
2021-04-08 11:54:54.782519 CEST | Iteration                    8
2021-04-08 11:54:54.782668 CEST | AverageDiscountedReturn    415.683
2021-04-08 11:54:54.782826 CEST | AverageReturn              589.721
2021-04-08 11:54:54.782974 CEST | ExplainedVariance            0.507347
2021-04-08 11:54:54.783177 CEST | NumTrajs                     7
2021-04-08 11:54:54.783322 CEST | Entropy                      1.37057
2021-04-08 11:54:54.783472 CEST | Perplexity                   3.93759
2021-04-08 11:54:54.783615 CEST | StdReturn                  327.599
2021-04-08 11:54:54.783767 CEST | MaxReturn                  999.709
2021-04-08 11:54:54.783912 CEST | MinReturn                   79.9476
2021-04-08 11:54:54.784065 CEST | Iteration                    8
2021-04-08 11:54:54.784212 CEST | AverageDiscountedReturn    314.396
2021-04-08 11:54:54.784366 CEST | AverageReturn              443.452
2021-04-08 11:54:54.784509 CEST | ExplainedVariance            0.0470398
2021-04-08 11:54:54.784658 CEST | NumTrajs                    11
2021-04-08 11:54:54.784804 CEST | Entropy                      1.37057
2021-04-08 11:54:54.784949 CEST | Perplexity                   3.93759
2021-04-08 11:54:54.785098 CEST | StdReturn                  379.057
2021-04-08 11:54:54.785251 CEST | MaxReturn                  999.731
2021-04-08 11:54:54.785405 CEST | MinReturn                    0
2021-04-08 11:54:54.785555 CEST | Iteration                    8
2021-04-08 11:54:54.785708 CEST | AverageDiscountedReturn    365.392
2021-04-08 11:54:54.785859 CEST | AverageReturn              498.518
2021-04-08 11:54:54.786013 CEST | ExplainedVariance          -10.5463
2021-04-08 11:54:54.786162 CEST | NumTrajs                     8
2021-04-08 11:54:54.786313 CEST | Entropy                      1.37057
2021-04-08 11:54:54.786464 CEST | Perplexity                   3.93759
2021-04-08 11:54:54.786612 CEST | StdReturn                  299.929
2021-04-08 11:54:54.786760 CEST | MaxReturn                  849.705
2021-04-08 11:54:54.786912 CEST | MinReturn                   69.9061
2021-04-08 11:54:54.787060 CEST | Iteration                    8
2021-04-08 11:54:54.787229 CEST | AverageDiscountedReturn    399.403
2021-04-08 11:54:54.787378 CEST | AverageReturn              554.793
2021-04-08 11:54:54.787528 CEST | ExplainedVariance           -1.54197
2021-04-08 11:54:54.787677 CEST | NumTrajs                     8
2021-04-08 11:54:54.787829 CEST | Entropy                      1.37057
2021-04-08 11:54:54.787981 CEST | Perplexity                   3.93759
2021-04-08 11:54:54.788129 CEST | StdReturn                  301.905
2021-04-08 11:54:54.788278 CEST | MaxReturn                  969.686
2021-04-08 11:54:54.788427 CEST | MinReturn                    9.98231
2021-04-08 11:54:54.788576 CEST | Iteration                    8
2021-04-08 11:54:54.788723 CEST | AverageDiscountedReturn    350.367
2021-04-08 11:54:54.788875 CEST | AverageReturn              443.732
2021-04-08 11:54:54.789026 CEST | ExplainedVariance            0.22711
2021-04-08 11:54:54.789174 CEST | NumTrajs                    10
2021-04-08 11:54:54.789321 CEST | Entropy                      1.37057
2021-04-08 11:54:54.789470 CEST | Perplexity                   3.93759
2021-04-08 11:54:54.789621 CEST | StdReturn                  171.66
2021-04-08 11:54:54.789770 CEST | MaxReturn                  719.617
2021-04-08 11:54:54.789920 CEST | MinReturn                  219.881
2021-04-08 11:54:54.790073 CEST | Iteration                    8
2021-04-08 11:54:54.790230 CEST | AverageDiscountedReturn    389.029
2021-04-08 11:54:54.790378 CEST | AverageReturn              506.003
2021-04-08 11:54:54.790531 CEST | ExplainedVariance           -0.232978
2021-04-08 11:54:54.790679 CEST | NumTrajs                     8
2021-04-08 11:54:54.790823 CEST | Entropy                      1.37057
2021-04-08 11:54:54.790972 CEST | Perplexity                   3.93759
2021-04-08 11:54:54.791151 CEST | StdReturn                  181.895
2021-04-08 11:54:54.791291 CEST | MaxReturn                  859.744
2021-04-08 11:54:54.791434 CEST | MinReturn                  299.797
2021-04-08 11:54:54.791580 CEST | Iteration                    8
2021-04-08 11:54:54.791723 CEST | AverageDiscountedReturn    327.532
2021-04-08 11:54:54.791864 CEST | AverageReturn              420.71
2021-04-08 11:54:54.792016 CEST | ExplainedVariance            0.184666
2021-04-08 11:54:54.792170 CEST | NumTrajs                    11
2021-04-08 11:54:54.792321 CEST | Entropy                      1.37057
2021-04-08 11:54:54.792456 CEST | Perplexity                   3.93759
2021-04-08 11:54:54.792607 CEST | StdReturn                  239.556
2021-04-08 11:54:54.792758 CEST | MaxReturn                  999.714
2021-04-08 11:54:54.792895 CEST | MinReturn                  179.855
2021-04-08 11:54:54.793047 CEST | Iteration                    8
2021-04-08 11:54:54.793191 CEST | AverageDiscountedReturn    333.206
2021-04-08 11:54:54.793341 CEST | AverageReturn              440.917
2021-04-08 11:54:54.793490 CEST | ExplainedVariance            0.112399
2021-04-08 11:54:54.793639 CEST | NumTrajs                     9
2021-04-08 11:54:54.793785 CEST | Entropy                      1.37057
2021-04-08 11:54:54.793933 CEST | Perplexity                   3.93759
2021-04-08 11:54:54.794083 CEST | StdReturn                  282.964
2021-04-08 11:54:54.794234 CEST | MaxReturn                  999.802
2021-04-08 11:54:54.794378 CEST | MinReturn                   49.9399
2021-04-08 11:54:54.794528 CEST | Iteration                    8
2021-04-08 11:54:54.794676 CEST | AverageDiscountedReturn    510.396
2021-04-08 11:54:54.794830 CEST | AverageReturn              795.73
2021-04-08 11:54:54.794970 CEST | ExplainedVariance            0.628091
2021-04-08 11:54:54.795156 CEST | NumTrajs                     5
2021-04-08 11:54:54.795299 CEST | Entropy                      1.37057
2021-04-08 11:54:54.795435 CEST | Perplexity                   3.93759
2021-04-08 11:54:54.795582 CEST | StdReturn                  378.188
2021-04-08 11:54:54.795728 CEST | MaxReturn                  999.727
2021-04-08 11:54:54.795868 CEST | MinReturn                   39.933
2021-04-08 11:54:54.796014 CEST | AveragePolicyStd             0.952783
2021-04-08 11:54:54.796164 CEST | AveragePolicyStd             0.952783
2021-04-08 11:54:54.796315 CEST | AveragePolicyStd             0.952783
2021-04-08 11:54:54.796472 CEST | AveragePolicyStd             0.952783
2021-04-08 11:54:54.796612 CEST | AveragePolicyStd             0.952783
2021-04-08 11:54:54.796752 CEST | AveragePolicyStd             0.952783
2021-04-08 11:54:54.796904 CEST | AveragePolicyStd             0.952783
2021-04-08 11:54:54.797064 CEST | AveragePolicyStd             0.952783
