2021-04-09 09:47:12.017893 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populating workers...
2021-04-09 09:47:12.018180 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populated
2021-04-09 09:47:12.018325 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populating workers...
2021-04-09 09:47:12.018457 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populated
2021-04-09 09:47:12.018590 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populating workers...
2021-04-09 09:47:12.018719 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populated
2021-04-09 09:47:12.018850 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populating workers...
2021-04-09 09:47:12.018975 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populated
2021-04-09 09:47:12.019102 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populating workers...
2021-04-09 09:47:12.019222 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populated
2021-04-09 09:47:12.019346 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populating workers...
2021-04-09 09:47:12.019469 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populated
2021-04-09 09:47:12.019593 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populating workers...
2021-04-09 09:47:12.019717 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populated
2021-04-09 09:47:12.019841 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populating workers...
2021-04-09 09:47:12.019965 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populated
2021-04-09 09:47:12.020089 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populating workers...
2021-04-09 09:47:12.020214 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populated
2021-04-09 09:47:12.020340 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populating workers...
2021-04-09 09:47:12.020460 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populated
2021-04-09 09:47:43.520847 CEST | AverageDiscountedReturn     600.997
2021-04-09 09:47:43.520982 CEST | AverageReturn               919.622
2021-04-09 09:47:43.521119 CEST | ExplainedVariance             0.550541
2021-04-09 09:47:43.521255 CEST | NumTrajs                      5
2021-04-09 09:47:43.521391 CEST | Entropy                       1.30474
2021-04-09 09:47:43.521527 CEST | Perplexity                    3.68673
2021-04-09 09:47:43.521664 CEST | StdReturn                   101.172
2021-04-09 09:47:43.521801 CEST | MaxReturn                   999.803
2021-04-09 09:47:43.521978 CEST | MinReturn                   759.747
2021-04-09 09:47:43.522118 CEST | Iteration                    14
2021-04-09 09:47:43.522255 CEST | AverageDiscountedReturn     534.863
2021-04-09 09:47:43.522391 CEST | AverageReturn               795.592
2021-04-09 09:47:43.522530 CEST | ExplainedVariance             0.40274
2021-04-09 09:47:43.522670 CEST | NumTrajs                      5
2021-04-09 09:47:43.522809 CEST | Entropy                       1.30474
2021-04-09 09:47:43.522947 CEST | Perplexity                    3.68673
2021-04-09 09:47:43.523085 CEST | StdReturn                   254.837
2021-04-09 09:47:43.523222 CEST | MaxReturn                   999.595
2021-04-09 09:47:43.523360 CEST | MinReturn                   409.726
2021-04-09 09:47:43.523497 CEST | Iteration                    14
2021-04-09 09:47:43.523635 CEST | AverageDiscountedReturn     633.829
2021-04-09 09:47:43.523772 CEST | AverageReturn               999.765
2021-04-09 09:47:43.523910 CEST | ExplainedVariance             0.772113
2021-04-09 09:47:43.524048 CEST | NumTrajs                      4
2021-04-09 09:47:43.524184 CEST | Entropy                       1.30474
2021-04-09 09:47:43.524324 CEST | Perplexity                    3.68673
2021-04-09 09:47:43.524461 CEST | StdReturn                     0.0292517
2021-04-09 09:47:43.524600 CEST | MaxReturn                   999.804
2021-04-09 09:47:43.524736 CEST | MinReturn                   999.736
2021-04-09 09:47:43.524873 CEST | Iteration                    14
2021-04-09 09:47:43.525012 CEST | AverageDiscountedReturn     633.769
2021-04-09 09:47:43.525151 CEST | AverageReturn               999.669
2021-04-09 09:47:43.525290 CEST | ExplainedVariance             0.999999
2021-04-09 09:47:43.525428 CEST | NumTrajs                      4
2021-04-09 09:47:43.525564 CEST | Entropy                       1.30474
2021-04-09 09:47:43.525701 CEST | Perplexity                    3.68673
2021-04-09 09:47:43.525839 CEST | StdReturn                     0.14243
2021-04-09 09:47:43.525998 CEST | MaxReturn                   999.819
2021-04-09 09:47:43.526138 CEST | MinReturn                   999.435
2021-04-09 09:47:43.526275 CEST | Iteration                    14
2021-04-09 09:47:43.526413 CEST | AverageDiscountedReturn     485.4
2021-04-09 09:47:43.526551 CEST | AverageReturn               729.643
2021-04-09 09:47:43.526690 CEST | ExplainedVariance             0.391257
2021-04-09 09:47:43.526829 CEST | NumTrajs                      6
2021-04-09 09:47:43.526966 CEST | Entropy                       1.30474
2021-04-09 09:47:43.527102 CEST | Perplexity                    3.68673
2021-04-09 09:47:43.527238 CEST | StdReturn                   357.927
2021-04-09 09:47:43.527373 CEST | MaxReturn                   999.722
2021-04-09 09:47:43.527508 CEST | MinReturn                   209.822
2021-04-09 09:47:43.527649 CEST | Iteration                    14
2021-04-09 09:47:43.527784 CEST | AverageDiscountedReturn     537.561
2021-04-09 09:47:43.527918 CEST | AverageReturn               814.562
2021-04-09 09:47:43.528052 CEST | ExplainedVariance             0.525252
2021-04-09 09:47:43.528187 CEST | NumTrajs                      6
2021-04-09 09:47:43.528324 CEST | Entropy                       1.30474
2021-04-09 09:47:43.528470 CEST | Perplexity                    3.68673
2021-04-09 09:47:43.528608 CEST | StdReturn                   289.483
2021-04-09 09:47:43.528743 CEST | MaxReturn                   999.657
2021-04-09 09:47:43.528879 CEST | MinReturn                   229.801
2021-04-09 09:47:43.529016 CEST | Iteration                    14
2021-04-09 09:47:43.529153 CEST | AverageDiscountedReturn     519.049
2021-04-09 09:47:43.529290 CEST | AverageReturn               807.867
2021-04-09 09:47:43.529426 CEST | ExplainedVariance             0.852876
2021-04-09 09:47:43.529563 CEST | NumTrajs                      6
2021-04-09 09:47:43.529700 CEST | Entropy                       1.30474
2021-04-09 09:47:43.529835 CEST | Perplexity                    3.68673
2021-04-09 09:47:43.529988 CEST | StdReturn                   361.592
2021-04-09 09:47:43.530124 CEST | MaxReturn                   999.711
2021-04-09 09:47:43.530259 CEST | MinReturn                     9.98014
2021-04-09 09:47:43.530394 CEST | AveragePolicyStd              0.89208
2021-04-09 09:47:43.530528 CEST | AveragePolicyStd              0.89208
2021-04-09 09:47:43.530664 CEST | AveragePolicyStd              0.89208
2021-04-09 09:47:43.530800 CEST | AveragePolicyStd              0.89208
2021-04-09 09:47:43.530937 CEST | AveragePolicyStd              0.89208
2021-04-09 09:47:43.531072 CEST | AveragePolicyStd              0.89208
2021-04-09 09:47:43.531211 CEST | AveragePolicyStd              0.89208
2021-04-09 09:47:43.531346 CEST | AveragePolicyStd              0.89208
2021-04-09 09:47:43.531484 CEST | AveragePolicyStd              0.89208
2021-04-09 09:47:43.531619 CEST | AveragePolicyStd              0.89208
2021-04-09 09:47:43.531757 CEST | Iteration                    15
2021-04-09 09:47:43.531893 CEST | AverageDiscountedReturn     512.602
2021-04-09 09:47:43.532029 CEST | AverageReturn               772.978
2021-04-09 09:47:43.532165 CEST | ExplainedVariance             0.453479
2021-04-09 09:47:43.532302 CEST | NumTrajs                      6
2021-04-09 09:47:43.532441 CEST | Entropy                       1.30339
2021-04-09 09:47:43.532577 CEST | Perplexity                    3.68176
2021-04-09 09:47:43.532713 CEST | StdReturn                   326.714
2021-04-09 09:47:43.532849 CEST | MaxReturn                   999.785
2021-04-09 09:47:43.532985 CEST | MinReturn                   209.843
2021-04-09 09:47:43.533124 CEST | Iteration                    15
2021-04-09 09:47:43.533260 CEST | AverageDiscountedReturn     532.329
2021-04-09 09:47:43.533394 CEST | AverageReturn               806.361
2021-04-09 09:47:43.533528 CEST | ExplainedVariance             0.45648
2021-04-09 09:47:43.533661 CEST | NumTrajs                      6
2021-04-09 09:47:43.533796 CEST | Entropy                       1.30339
2021-04-09 09:47:43.533965 CEST | Perplexity                    3.68176
2021-04-09 09:47:43.534105 CEST | StdReturn                   299.043
2021-04-09 09:47:43.534241 CEST | MaxReturn                   999.861
2021-04-09 09:47:43.534377 CEST | MinReturn                   209.847
2021-04-09 09:47:43.534512 CEST | Iteration                    15
2021-04-09 09:47:43.534646 CEST | AverageDiscountedReturn     544.918
2021-04-09 09:47:43.534783 CEST | AverageReturn               811.304
2021-04-09 09:47:43.534918 CEST | ExplainedVariance             0.631038
2021-04-09 09:47:43.535054 CEST | NumTrajs                      6
2021-04-09 09:47:43.535189 CEST | Entropy                       1.30339
2021-04-09 09:47:43.535323 CEST | Perplexity                    3.68176
2021-04-09 09:47:43.535456 CEST | StdReturn                   230.077
2021-04-09 09:47:43.535592 CEST | MaxReturn                   999.812
2021-04-09 09:47:43.535726 CEST | MinReturn                   439.676
2021-04-09 09:47:43.535861 CEST | Iteration                    15
2021-04-09 09:47:43.535998 CEST | AverageDiscountedReturn     527.738
2021-04-09 09:47:43.536134 CEST | AverageReturn               788.055
2021-04-09 09:47:43.536271 CEST | ExplainedVariance             0.70086
2021-04-09 09:47:43.536418 CEST | NumTrajs                      6
2021-04-09 09:47:43.536557 CEST | Entropy                       1.30339
2021-04-09 09:47:43.536693 CEST | Perplexity                    3.68176
2021-04-09 09:47:43.536830 CEST | StdReturn                   275.587
2021-04-09 09:47:43.536965 CEST | MaxReturn                   999.807
2021-04-09 09:47:43.537103 CEST | MinReturn                   259.811
2021-04-09 09:47:43.537238 CEST | Iteration                    15
2021-04-09 09:47:43.537374 CEST | AverageDiscountedReturn     632.266
2021-04-09 09:47:43.537512 CEST | AverageReturn               995.633
2021-04-09 09:47:43.537648 CEST | ExplainedVariance             0.756261
2021-04-09 09:47:43.537784 CEST | NumTrajs                      5
2021-04-09 09:47:43.537940 CEST | Entropy                       1.30339
2021-04-09 09:47:43.538078 CEST | Perplexity                    3.68176
2021-04-09 09:47:43.538214 CEST | StdReturn                     8.02887
2021-04-09 09:47:43.538351 CEST | MaxReturn                   999.725
2021-04-09 09:47:43.538487 CEST | MinReturn                   979.576
2021-04-09 09:47:43.538623 CEST | Iteration                    15
2021-04-09 09:47:43.538760 CEST | AverageDiscountedReturn     508.916
2021-04-09 09:47:43.538896 CEST | AverageReturn               801.596
2021-04-09 09:47:43.539035 CEST | ExplainedVariance             0.940986
2021-04-09 09:47:43.539171 CEST | NumTrajs                      5
2021-04-09 09:47:43.539307 CEST | Entropy                       1.30339
2021-04-09 09:47:43.539441 CEST | Perplexity                    3.68176
2021-04-09 09:47:43.539576 CEST | StdReturn                   395.807
2021-04-09 09:47:43.539713 CEST | MaxReturn                   999.755
2021-04-09 09:47:43.539847 CEST | MinReturn                     9.98127
2021-04-09 09:47:43.539984 CEST | Iteration                    15
2021-04-09 09:47:43.540118 CEST | AverageDiscountedReturn     615.685
2021-04-09 09:47:43.540253 CEST | AverageReturn               955.732
2021-04-09 09:47:43.540389 CEST | ExplainedVariance             0.908207
2021-04-09 09:47:43.540526 CEST | NumTrajs                      5
2021-04-09 09:47:43.540660 CEST | Entropy                       1.30339
2021-04-09 09:47:43.540794 CEST | Perplexity                    3.68176
2021-04-09 09:47:43.540929 CEST | StdReturn                    87.992
2021-04-09 09:47:43.541063 CEST | MaxReturn                   999.798
2021-04-09 09:47:43.541199 CEST | MinReturn                   779.748
2021-04-09 09:47:43.541334 CEST | Iteration                    15
2021-04-09 09:47:43.541469 CEST | AverageDiscountedReturn     620.132
2021-04-09 09:47:43.541605 CEST | AverageReturn               965.691
2021-04-09 09:47:43.541741 CEST | ExplainedVariance             0.94528
2021-04-09 09:47:43.541890 CEST | NumTrajs                      5
2021-04-09 09:47:43.542028 CEST | Entropy                       1.30339
2021-04-09 09:47:43.542162 CEST | Perplexity                    3.68176
2021-04-09 09:47:43.542298 CEST | StdReturn                    68.0014
2021-04-09 09:47:43.542433 CEST | MaxReturn                   999.819
2021-04-09 09:47:43.542569 CEST | MinReturn                   829.688
2021-04-09 09:47:43.542704 CEST | Iteration                    15
2021-04-09 09:47:43.542839 CEST | AverageDiscountedReturn     444.742
2021-04-09 09:47:43.542975 CEST | AverageReturn               671.101
2021-04-09 09:47:43.543110 CEST | ExplainedVariance             0.498063
2021-04-09 09:47:43.543245 CEST | NumTrajs                      7
2021-04-09 09:47:43.543381 CEST | Entropy                       1.30339
2021-04-09 09:47:43.543517 CEST | Perplexity                    3.68176
2021-04-09 09:47:43.543654 CEST | StdReturn                   401.713
2021-04-09 09:47:43.543793 CEST | MaxReturn                   999.756
2021-04-09 09:47:43.543929 CEST | MinReturn                     9.98096
2021-04-09 09:47:43.544065 CEST | Iteration                    15
2021-04-09 09:47:43.544200 CEST | AverageDiscountedReturn     573.174
2021-04-09 09:47:43.544342 CEST | AverageReturn               879.663
2021-04-09 09:47:43.544478 CEST | ExplainedVariance             0.561111
2021-04-09 09:47:43.544612 CEST | NumTrajs                      5
2021-04-09 09:47:43.544747 CEST | Entropy                       1.30339
2021-04-09 09:47:43.544884 CEST | Perplexity                    3.68176
2021-04-09 09:47:43.545021 CEST | StdReturn                   239.907
2021-04-09 09:47:43.545156 CEST | MaxReturn                   999.845
2021-04-09 09:47:43.545291 CEST | MinReturn                   399.849
2021-04-09 09:47:43.545426 CEST | AveragePolicyStd              0.890878
2021-04-09 09:47:43.545561 CEST | AveragePolicyStd              0.890878
2021-04-09 09:47:43.545697 CEST | AveragePolicyStd              0.890878
2021-04-09 09:47:43.545832 CEST | AveragePolicyStd              0.890878
2021-04-09 09:47:43.545995 CEST | AveragePolicyStd              0.890878
2021-04-09 09:47:43.546134 CEST | AveragePolicyStd              0.890878
2021-04-09 09:47:43.546269 CEST | AveragePolicyStd              0.890878
2021-04-09 09:47:43.546403 CEST | AveragePolicyStd              0.890878
2021-04-09 09:47:43.546538 CEST | AveragePolicyStd              0.890878
2021-04-09 09:47:43.546676 CEST | AveragePolicyStd              0.890878
2021-04-09 09:47:43.546812 CEST | TransfBits               151440
2021-04-09 09:47:43.546947 CEST | TotalAverageReturn          545.886
2021-04-09 09:47:43.547082 CEST | -----------------------  --------------
2021-04-09 09:47:45.016115 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #16 | fitting baseline...
2021-04-09 09:47:45.016667 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #16 | fitted
2021-04-09 09:47:45.017578 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #16 | fitting baseline...
2021-04-09 09:47:45.018135 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #16 | fitted
2021-04-09 09:47:45.019052 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #16 | fitting baseline...
2021-04-09 09:47:45.019569 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #16 | fitted
2021-04-09 09:47:45.020378 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #16 | fitting baseline...
2021-04-09 09:47:45.020756 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #16 | fitted
2021-04-09 09:47:45.021527 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #16 | fitting baseline...
2021-04-09 09:47:45.021918 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #16 | fitted
2021-04-09 09:47:45.022695 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #16 | fitting baseline...
2021-04-09 09:47:45.023070 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #16 | fitted
2021-04-09 09:47:45.023893 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #16 | fitting baseline...
2021-04-09 09:47:45.024322 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #16 | fitted
2021-04-09 09:47:45.025084 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #16 | fitting baseline...
2021-04-09 09:47:45.025459 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #16 | fitted
2021-04-09 09:47:45.026264 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #16 | fitting baseline...
2021-04-09 09:47:45.026650 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #16 | fitted
2021-04-09 09:47:45.027401 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #16 | fitting baseline...
2021-04-09 09:47:45.027772 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #16 | fitted
2021-04-09 09:47:46.462712 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #17 | fitting baseline...
2021-04-09 09:47:46.463343 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #17 | fitted
2021-04-09 09:47:46.464416 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #17 | fitting baseline...
2021-04-09 09:47:46.464914 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #17 | fitted
2021-04-09 09:47:46.465809 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #17 | fitting baseline...
2021-04-09 09:47:46.466305 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #17 | fitted
2021-04-09 09:47:46.467225 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #17 | fitting baseline...
2021-04-09 09:47:46.467654 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #17 | fitted
2021-04-09 09:47:46.468621 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #17 | fitting baseline...
2021-04-09 09:47:46.469093 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #17 | fitted
2021-04-09 09:47:46.470004 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #17 | fitting baseline...
2021-04-09 09:47:46.470445 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #17 | fitted
2021-04-09 09:47:46.471414 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #17 | fitting baseline...
2021-04-09 09:47:46.471874 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #17 | fitted
2021-04-09 09:47:46.472725 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #17 | fitting baseline...
2021-04-09 09:47:46.473124 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #17 | fitted
2021-04-09 09:47:46.474196 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #17 | fitting baseline...
2021-04-09 09:47:46.474695 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #17 | fitted
2021-04-09 09:47:46.475616 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #17 | fitting baseline...
2021-04-09 09:47:46.476055 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #17 | fitted
2021-04-09 09:47:47.835954 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #18 | fitting baseline...
2021-04-09 09:47:47.836546 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #18 | fitted
2021-04-09 09:47:47.837622 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #18 | fitting baseline...
2021-04-09 09:47:47.838465 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #18 | fitted
2021-04-09 09:47:47.839815 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #18 | fitting baseline...
2021-04-09 09:47:47.840423 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #18 | fitted
2021-04-09 09:47:47.841474 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #18 | fitting baseline...
2021-04-09 09:47:47.842136 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #18 | fitted
2021-04-09 09:47:47.843227 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #18 | fitting baseline...
2021-04-09 09:47:47.843833 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #18 | fitted
2021-04-09 09:47:47.844694 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #18 | fitting baseline...
2021-04-09 09:47:47.845114 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #18 | fitted
2021-04-09 09:47:47.845942 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #18 | fitting baseline...
2021-04-09 09:47:47.846355 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #18 | fitted
2021-04-09 09:47:47.847296 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #18 | fitting baseline...
2021-04-09 09:47:47.847840 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #18 | fitted
2021-04-09 09:47:47.848659 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #18 | fitting baseline...
2021-04-09 09:47:47.849068 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #18 | fitted
2021-04-09 09:47:47.849889 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #18 | fitting baseline...
2021-04-09 09:47:47.850309 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #18 | fitted
2021-04-09 09:47:49.257261 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #19 | fitting baseline...
2021-04-09 09:47:49.257938 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #19 | fitted
2021-04-09 09:47:49.308924 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #19 | fitting baseline...
2021-04-09 09:47:49.309697 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #19 | fitted
2021-04-09 09:47:49.310888 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #19 | fitting baseline...
2021-04-09 09:47:49.311443 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #19 | fitted
2021-04-09 09:47:49.313243 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #19 | fitting baseline...
2021-04-09 09:47:49.314103 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #19 | fitted
2021-04-09 09:47:49.315779 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #19 | fitting baseline...
2021-04-09 09:47:49.316644 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #19 | fitted
2021-04-09 09:47:49.318548 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #19 | fitting baseline...
2021-04-09 09:47:49.319428 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #19 | fitted
2021-04-09 09:47:49.321116 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #19 | fitting baseline...
2021-04-09 09:47:49.322038 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #19 | fitted
2021-04-09 09:47:49.323708 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #19 | fitting baseline...
2021-04-09 09:47:49.324178 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #19 | fitted
2021-04-09 09:47:49.324956 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #19 | fitting baseline...
2021-04-09 09:47:49.325327 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #19 | fitted
2021-04-09 09:47:49.326139 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #19 | fitting baseline...
2021-04-09 09:47:49.326543 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #19 | fitted
2021-04-09 09:47:50.700099 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #20 | fitting baseline...
2021-04-09 09:47:50.700759 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #20 | fitted
2021-04-09 09:47:50.701816 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #20 | fitting baseline...
2021-04-09 09:47:50.702497 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #20 | fitted
2021-04-09 09:47:50.703543 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #20 | fitting baseline...
2021-04-09 09:47:50.704063 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #20 | fitted
2021-04-09 09:47:50.704963 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #20 | fitting baseline...
2021-04-09 09:47:50.705417 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #20 | fitted
2021-04-09 09:47:50.706331 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #20 | fitting baseline...
2021-04-09 09:47:50.706803 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #20 | fitted
2021-04-09 09:47:50.707692 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #20 | fitting baseline...
2021-04-09 09:47:50.708135 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #20 | fitted
2021-04-09 09:47:50.709013 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #20 | fitting baseline...
2021-04-09 09:47:50.709451 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #20 | fitted
2021-04-09 09:47:50.710409 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #20 | fitting baseline...
2021-04-09 09:47:50.710912 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #20 | fitted
2021-04-09 09:47:50.711791 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #20 | fitting baseline...
2021-04-09 09:47:50.712245 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #20 | fitted
2021-04-09 09:47:50.713122 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #20 | fitting baseline...
