2021-04-08 16:01:16.246977 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populating workers...
2021-04-08 16:01:16.247283 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populated
2021-04-08 16:01:16.247416 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populating workers...
2021-04-08 16:01:16.247539 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populated
2021-04-08 16:01:16.247661 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populating workers...
2021-04-08 16:01:16.247788 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populated
2021-04-08 16:01:16.247908 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populating workers...
2021-04-08 16:01:16.248029 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populated
2021-04-08 16:01:16.248167 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populating workers...
2021-04-08 16:01:16.248293 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populated
2021-04-08 16:01:16.248427 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populating workers...
2021-04-08 16:01:16.248559 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populated
2021-04-08 16:01:16.248681 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populating workers...
2021-04-08 16:01:16.248797 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populated
2021-04-08 16:01:16.248914 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populating workers...
2021-04-08 16:01:16.249030 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populated
2021-04-08 16:01:16.249147 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populating workers...
2021-04-08 16:01:16.249274 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populated
2021-04-08 16:01:16.249405 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populating workers...
2021-04-08 16:01:16.249531 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populated
2021-04-08 16:01:39.349439 CEST | AverageDiscountedReturn    381.055
2021-04-08 16:01:39.349566 CEST | AverageReturn              497.194
2021-04-08 16:01:39.349691 CEST | ExplainedVariance            0.156077
2021-04-08 16:01:39.349813 CEST | NumTrajs                     8
2021-04-08 16:01:39.349939 CEST | Entropy                      1.35918
2021-04-08 16:01:39.350059 CEST | Perplexity                   3.89301
2021-04-08 16:01:39.350182 CEST | StdReturn                  197.103
2021-04-08 16:01:39.350303 CEST | MaxReturn                  789.581
2021-04-08 16:01:39.350418 CEST | MinReturn                  169.875
2021-04-08 16:01:39.350538 CEST | Iteration                    8
2021-04-08 16:01:39.350666 CEST | AverageDiscountedReturn    413.054
2021-04-08 16:01:39.350793 CEST | AverageReturn              573.51
2021-04-08 16:01:39.350920 CEST | ExplainedVariance            0.306265
2021-04-08 16:01:39.351048 CEST | NumTrajs                     8
2021-04-08 16:01:39.351210 CEST | Entropy                      1.35918
2021-04-08 16:01:39.351339 CEST | Perplexity                   3.89301
2021-04-08 16:01:39.351472 CEST | StdReturn                  286.447
2021-04-08 16:01:39.351598 CEST | MaxReturn                  999.774
2021-04-08 16:01:39.351732 CEST | MinReturn                    9.984
2021-04-08 16:01:39.351858 CEST | Iteration                    8
2021-04-08 16:01:39.351991 CEST | AverageDiscountedReturn    385.97
2021-04-08 16:01:39.352127 CEST | AverageReturn              503.456
2021-04-08 16:01:39.352260 CEST | ExplainedVariance            0.18476
2021-04-08 16:01:39.352394 CEST | NumTrajs                     8
2021-04-08 16:01:39.352521 CEST | Entropy                      1.35918
2021-04-08 16:01:39.352647 CEST | Perplexity                   3.89301
2021-04-08 16:01:39.352780 CEST | StdReturn                  189.338
2021-04-08 16:01:39.352907 CEST | MaxReturn                  799.444
2021-04-08 16:01:39.353034 CEST | MinReturn                  229.877
2021-04-08 16:01:39.353185 CEST | Iteration                    8
2021-04-08 16:01:39.353315 CEST | AverageDiscountedReturn    324.502
2021-04-08 16:01:39.353450 CEST | AverageReturn              404.761
2021-04-08 16:01:39.353576 CEST | ExplainedVariance           -0.230991
2021-04-08 16:01:39.353704 CEST | NumTrajs                    10
2021-04-08 16:01:39.353831 CEST | Entropy                      1.35918
2021-04-08 16:01:39.353983 CEST | Perplexity                   3.89301
2021-04-08 16:01:39.354102 CEST | StdReturn                  174.219
2021-04-08 16:01:39.354228 CEST | MaxReturn                  809.581
2021-04-08 16:01:39.354346 CEST | MinReturn                  159.953
2021-04-08 16:01:39.354465 CEST | AveragePolicyStd             0.941994
2021-04-08 16:01:39.354594 CEST | AveragePolicyStd             0.941994
2021-04-08 16:01:39.354715 CEST | AveragePolicyStd             0.941994
2021-04-08 16:01:39.354839 CEST | AveragePolicyStd             0.941994
2021-04-08 16:01:39.354959 CEST | AveragePolicyStd             0.941994
2021-04-08 16:01:39.355113 CEST | AveragePolicyStd             0.941994
2021-04-08 16:01:39.355256 CEST | AveragePolicyStd             0.941994
2021-04-08 16:01:39.355375 CEST | AveragePolicyStd             0.941994
2021-04-08 16:01:39.355501 CEST | AveragePolicyStd             0.941994
2021-04-08 16:01:39.355621 CEST | AveragePolicyStd             0.941994
2021-04-08 16:01:39.355739 CEST | Iteration                    9
2021-04-08 16:01:39.355866 CEST | AverageDiscountedReturn    567.816
2021-04-08 16:01:39.355982 CEST | AverageReturn              851.664
2021-04-08 16:01:39.356100 CEST | ExplainedVariance            0.410123
2021-04-08 16:01:39.356219 CEST | NumTrajs                     5
2021-04-08 16:01:39.356342 CEST | Entropy                      1.3519
2021-04-08 16:01:39.356465 CEST | Perplexity                   3.86477
2021-04-08 16:01:39.356593 CEST | StdReturn                  178.336
2021-04-08 16:01:39.356713 CEST | MaxReturn                  999.822
2021-04-08 16:01:39.356832 CEST | MinReturn                  529.754
2021-04-08 16:01:39.356951 CEST | Iteration                    9
2021-04-08 16:01:39.357077 CEST | AverageDiscountedReturn    441.263
2021-04-08 16:01:39.357203 CEST | AverageReturn              592.518
2021-04-08 16:01:39.357366 CEST | ExplainedVariance            0.252401
2021-04-08 16:01:39.357499 CEST | NumTrajs                     7
2021-04-08 16:01:39.357627 CEST | Entropy                      1.3519
2021-04-08 16:01:39.357752 CEST | Perplexity                   3.86477
2021-04-08 16:01:39.357878 CEST | StdReturn                  164.018
2021-04-08 16:01:39.358008 CEST | MaxReturn                  879.339
2021-04-08 16:01:39.358135 CEST | MinReturn                  369.708
2021-04-08 16:01:39.358286 CEST | Iteration                    9
2021-04-08 16:01:39.358429 CEST | AverageDiscountedReturn    460.482
2021-04-08 16:01:39.358622 CEST | AverageReturn              651.176
2021-04-08 16:01:39.358783 CEST | ExplainedVariance            0.465321
2021-04-08 16:01:39.358943 CEST | NumTrajs                     7
2021-04-08 16:01:39.359102 CEST | Entropy                      1.3519
2021-04-08 16:01:39.359246 CEST | Perplexity                   3.86477
2021-04-08 16:01:39.359398 CEST | StdReturn                  261.243
2021-04-08 16:01:39.359560 CEST | MaxReturn                  929.708
2021-04-08 16:01:39.359714 CEST | MinReturn                  109.884
2021-04-08 16:01:39.359869 CEST | Iteration                    9
2021-04-08 16:01:39.360023 CEST | AverageDiscountedReturn    488.457
2021-04-08 16:01:39.360177 CEST | AverageReturn              694.014
2021-04-08 16:01:39.360334 CEST | ExplainedVariance            0.417635
2021-04-08 16:01:39.360488 CEST | NumTrajs                     7
2021-04-08 16:01:39.360651 CEST | Entropy                      1.3519
2021-04-08 16:01:39.360801 CEST | Perplexity                   3.86477
2021-04-08 16:01:39.360955 CEST | StdReturn                  231.151
2021-04-08 16:01:39.361110 CEST | MaxReturn                  999.76
2021-04-08 16:01:39.361270 CEST | MinReturn                  299.876
2021-04-08 16:01:39.361420 CEST | Iteration                    9
2021-04-08 16:01:39.361576 CEST | AverageDiscountedReturn    408.125
2021-04-08 16:01:39.361730 CEST | AverageReturn              614.733
2021-04-08 16:01:39.361883 CEST | ExplainedVariance            0.61604
2021-04-08 16:01:39.362036 CEST | NumTrajs                     8
2021-04-08 16:01:39.362193 CEST | Entropy                      1.3519
2021-04-08 16:01:39.362347 CEST | Perplexity                   3.86477
2021-04-08 16:01:39.362501 CEST | StdReturn                  422.712
2021-04-08 16:01:39.362661 CEST | MaxReturn                  999.84
2021-04-08 16:01:39.362848 CEST | MinReturn                    0
2021-04-08 16:01:39.363032 CEST | Iteration                    9
2021-04-08 16:01:39.363214 CEST | AverageDiscountedReturn    476.799
2021-04-08 16:01:39.363377 CEST | AverageReturn              656.833
2021-04-08 16:01:39.363512 CEST | ExplainedVariance           -0.246152
2021-04-08 16:01:39.363707 CEST | NumTrajs                     7
2021-04-08 16:01:39.363867 CEST | Entropy                      1.3519
2021-04-08 16:01:39.364068 CEST | Perplexity                   3.86477
2021-04-08 16:01:39.364278 CEST | StdReturn                  156.127
2021-04-08 16:01:39.364439 CEST | MaxReturn                  929.49
2021-04-08 16:01:39.364618 CEST | MinReturn                  409.73
2021-04-08 16:01:39.364820 CEST | Iteration                    9
2021-04-08 16:01:39.364987 CEST | AverageDiscountedReturn    432.641
2021-04-08 16:01:39.365151 CEST | AverageReturn              573.478
2021-04-08 16:01:39.365313 CEST | ExplainedVariance            0.568001
2021-04-08 16:01:39.365474 CEST | NumTrajs                     8
2021-04-08 16:01:39.365634 CEST | Entropy                      1.3519
2021-04-08 16:01:39.365794 CEST | Perplexity                   3.86477
2021-04-08 16:01:39.365944 CEST | StdReturn                  136.626
2021-04-08 16:01:39.366105 CEST | MaxReturn                  739.796
2021-04-08 16:01:39.366264 CEST | MinReturn                  369.745
2021-04-08 16:01:39.366417 CEST | Iteration                    9
2021-04-08 16:01:39.366571 CEST | AverageDiscountedReturn    362.684
2021-04-08 16:01:39.366727 CEST | AverageReturn              506.042
2021-04-08 16:01:39.366877 CEST | ExplainedVariance            0.255011
2021-04-08 16:01:39.367026 CEST | NumTrajs                     8
2021-04-08 16:01:39.367206 CEST | Entropy                      1.3519
2021-04-08 16:01:39.367369 CEST | Perplexity                   3.86477
2021-04-08 16:01:39.367533 CEST | StdReturn                  340.673
2021-04-08 16:01:39.367692 CEST | MaxReturn                  999.639
2021-04-08 16:01:39.367849 CEST | MinReturn                   39.9567
2021-04-08 16:01:39.368005 CEST | Iteration                    9
2021-04-08 16:01:39.368162 CEST | AverageDiscountedReturn    480.583
2021-04-08 16:01:39.368317 CEST | AverageReturn              658.036
2021-04-08 16:01:39.368468 CEST | ExplainedVariance            0.455694
2021-04-08 16:01:39.368619 CEST | NumTrajs                     6
2021-04-08 16:01:39.368770 CEST | Entropy                      1.3519
2021-04-08 16:01:39.368928 CEST | Perplexity                   3.86477
2021-04-08 16:01:39.369127 CEST | StdReturn                  111.272
2021-04-08 16:01:39.369287 CEST | MaxReturn                  849.705
2021-04-08 16:01:39.369437 CEST | MinReturn                  499.655
2021-04-08 16:01:39.369599 CEST | Iteration                    9
2021-04-08 16:01:39.369753 CEST | AverageDiscountedReturn    417.854
2021-04-08 16:01:39.369910 CEST | AverageReturn              566.811
2021-04-08 16:01:39.370066 CEST | ExplainedVariance            0.490393
2021-04-08 16:01:39.370222 CEST | NumTrajs                     7
2021-04-08 16:01:39.370376 CEST | Entropy                      1.3519
2021-04-08 16:01:39.370536 CEST | Perplexity                   3.86477
2021-04-08 16:01:39.370692 CEST | StdReturn                  229.321
2021-04-08 16:01:39.370846 CEST | MaxReturn                  869.728
2021-04-08 16:01:39.370997 CEST | MinReturn                   79.9338
2021-04-08 16:01:39.371191 CEST | AveragePolicyStd             0.93516
2021-04-08 16:01:39.371344 CEST | AveragePolicyStd             0.93516
2021-04-08 16:01:39.371500 CEST | AveragePolicyStd             0.93516
2021-04-08 16:01:39.371653 CEST | AveragePolicyStd             0.93516
2021-04-08 16:01:39.371802 CEST | AveragePolicyStd             0.93516
2021-04-08 16:01:39.371955 CEST | AveragePolicyStd             0.93516
2021-04-08 16:01:39.372112 CEST | AveragePolicyStd             0.93516
2021-04-08 16:01:39.372267 CEST | AveragePolicyStd             0.93516
2021-04-08 16:01:39.372422 CEST | AveragePolicyStd             0.93516
2021-04-08 16:01:39.372593 CEST | AveragePolicyStd             0.93516
2021-04-08 16:01:39.372744 CEST | Iteration                   10
2021-04-08 16:01:39.372898 CEST | AverageDiscountedReturn    438.749
2021-04-08 16:01:39.373047 CEST | AverageReturn              588.303
2021-04-08 16:01:39.373206 CEST | ExplainedVariance            0.672263
2021-04-08 16:01:39.373360 CEST | NumTrajs                     7
2021-04-08 16:01:39.373516 CEST | Entropy                      1.34629
2021-04-08 16:01:39.373676 CEST | Perplexity                   3.84313
2021-04-08 16:01:39.373830 CEST | StdReturn                  162.009
2021-04-08 16:01:39.373984 CEST | MaxReturn                  839.642
2021-04-08 16:01:39.374140 CEST | MinReturn                  269.616
2021-04-08 16:01:39.374294 CEST | Iteration                   10
2021-04-08 16:01:39.374448 CEST | AverageDiscountedReturn    424.214
2021-04-08 16:01:39.374602 CEST | AverageReturn              585.989
2021-04-08 16:01:39.374760 CEST | ExplainedVariance            0.503103
2021-04-08 16:01:39.374919 CEST | NumTrajs                     8
2021-04-08 16:01:39.375073 CEST | Entropy                      1.34629
2021-04-08 16:01:39.375235 CEST | Perplexity                   3.84313
2021-04-08 16:01:39.375397 CEST | StdReturn                  265.662
2021-04-08 16:01:39.375558 CEST | MaxReturn                  999.677
2021-04-08 16:01:39.375726 CEST | MinReturn                   69.945
2021-04-08 16:01:39.375876 CEST | Iteration                   10
2021-04-08 16:01:39.376035 CEST | AverageDiscountedReturn    433.26
2021-04-08 16:01:39.376208 CEST | AverageReturn              586.915
2021-04-08 16:01:39.376358 CEST | ExplainedVariance            0.593513
2021-04-08 16:01:39.376524 CEST | NumTrajs                     7
2021-04-08 16:01:39.376685 CEST | Entropy                      1.34629
2021-04-08 16:01:39.376833 CEST | Perplexity                   3.84313
2021-04-08 16:01:39.376989 CEST | StdReturn                  216.755
2021-04-08 16:01:39.377145 CEST | MaxReturn                  999.848
2021-04-08 16:01:39.377301 CEST | MinReturn                  399.606
2021-04-08 16:01:39.377463 CEST | Iteration                   10
2021-04-08 16:01:39.377611 CEST | AverageDiscountedReturn    334.857
2021-04-08 16:01:39.377761 CEST | AverageReturn              457.586
2021-04-08 16:01:39.377920 CEST | ExplainedVariance            0.482421
2021-04-08 16:01:39.378080 CEST | NumTrajs                     9
2021-04-08 16:01:39.378230 CEST | Entropy                      1.34629
2021-04-08 16:01:39.378392 CEST | Perplexity                   3.84313
2021-04-08 16:01:39.378543 CEST | StdReturn                  321.315
2021-04-08 16:01:39.378699 CEST | MaxReturn                  899.751
2021-04-08 16:01:39.378852 CEST | MinReturn                   19.963
2021-04-08 16:01:39.379006 CEST | Iteration                   10
2021-04-08 16:01:39.379183 CEST | AverageDiscountedReturn    343.054
2021-04-08 16:01:39.379342 CEST | AverageReturn              468.701
2021-04-08 16:01:39.379505 CEST | ExplainedVariance           -1.52293
2021-04-08 16:01:39.379663 CEST | NumTrajs                     9
2021-04-08 16:01:39.379821 CEST | Entropy                      1.34629
2021-04-08 16:01:39.379981 CEST | Perplexity                   3.84313
2021-04-08 16:01:39.380142 CEST | StdReturn                  317.218
2021-04-08 16:01:39.380304 CEST | MaxReturn                  999.684
2021-04-08 16:01:39.380468 CEST | MinReturn                    0
2021-04-08 16:01:39.380617 CEST | Iteration                   10
2021-04-08 16:01:39.380779 CEST | AverageDiscountedReturn    410.308
2021-04-08 16:01:39.380940 CEST | AverageReturn              550.98
2021-04-08 16:01:39.381101 CEST | ExplainedVariance            0.619104
2021-04-08 16:01:39.381260 CEST | NumTrajs                     8
2021-04-08 16:01:39.381409 CEST | Entropy                      1.34629
2021-04-08 16:01:39.381577 CEST | Perplexity                   3.84313
2021-04-08 16:01:39.381725 CEST | StdReturn                  216.03
2021-04-08 16:01:39.381876 CEST | MaxReturn                  789.82
2021-04-08 16:01:39.382041 CEST | MinReturn                   69.9078
2021-04-08 16:01:39.382199 CEST | Iteration                   10
2021-04-08 16:01:39.382354 CEST | AverageDiscountedReturn    427.399
2021-04-08 16:01:39.382512 CEST | AverageReturn              566.887
2021-04-08 16:01:39.382673 CEST | ExplainedVariance            0.525947
2021-04-08 16:01:39.382831 CEST | NumTrajs                     7
2021-04-08 16:01:39.382981 CEST | Entropy                      1.34629
2021-04-08 16:01:39.383180 CEST | Perplexity                   3.84313
2021-04-08 16:01:39.383338 CEST | StdReturn                  152.733
2021-04-08 16:01:39.383497 CEST | MaxReturn                  759.711
2021-04-08 16:01:39.383660 CEST | MinReturn                  269.858
2021-04-08 16:01:39.383817 CEST | Iteration                   10
2021-04-08 16:01:39.383971 CEST | AverageDiscountedReturn    502.906
2021-04-08 16:01:39.384154 CEST | AverageReturn              701.368
2021-04-08 16:01:39.384315 CEST | ExplainedVariance            0.720429
2021-04-08 16:01:39.384474 CEST | NumTrajs                     6
2021-04-08 16:01:39.384630 CEST | Entropy                      1.34629
2021-04-08 16:01:39.384789 CEST | Perplexity                   3.84313
2021-04-08 16:01:39.384940 CEST | StdReturn                  107.38
2021-04-08 16:01:39.385096 CEST | MaxReturn                  869.514
2021-04-08 16:01:39.385255 CEST | MinReturn                  569.716
2021-04-08 16:01:39.385406 CEST | Iteration                   10
2021-04-08 16:01:39.385564 CEST | AverageDiscountedReturn    524.353
2021-04-08 16:01:39.385717 CEST | AverageReturn              749.649
2021-04-08 16:01:39.385873 CEST | ExplainedVariance            0.607614
2021-04-08 16:01:39.386034 CEST | NumTrajs                     6
2021-04-08 16:01:39.386192 CEST | Entropy                      1.34629
2021-04-08 16:01:39.386351 CEST | Perplexity                   3.84313
2021-04-08 16:01:39.386505 CEST | StdReturn                  143.26
2021-04-08 16:01:39.386657 CEST | MaxReturn                  969.621
2021-04-08 16:01:39.386807 CEST | MinReturn                  589.723
2021-04-08 16:01:39.386996 CEST | Iteration                   10
2021-04-08 16:01:39.387172 CEST | AverageDiscountedReturn    438.389
2021-04-08 16:01:39.387325 CEST | AverageReturn              579.753
2021-04-08 16:01:39.387475 CEST | ExplainedVariance            0.870272
2021-04-08 16:01:39.387628 CEST | NumTrajs                     7
2021-04-08 16:01:39.387784 CEST | Entropy                      1.34629
2021-04-08 16:01:39.387946 CEST | Perplexity                   3.84313
2021-04-08 16:01:39.388093 CEST | StdReturn                  107.326
2021-04-08 16:01:39.388258 CEST | MaxReturn                  789.858
2021-04-08 16:01:39.388401 CEST | MinReturn                  459.805
2021-04-08 16:01:39.388555 CEST | AveragePolicyStd             0.929925
2021-04-08 16:01:39.388707 CEST | AveragePolicyStd             0.929925
2021-04-08 16:01:39.388866 CEST | AveragePolicyStd             0.929925
2021-04-08 16:01:39.389023 CEST | AveragePolicyStd             0.929925
2021-04-08 16:01:39.389178 CEST | AveragePolicyStd             0.929925
2021-04-08 16:01:39.389329 CEST | AveragePolicyStd             0.929925
2021-04-08 16:01:39.389485 CEST | AveragePolicyStd             0.929925
2021-04-08 16:01:39.389644 CEST | AveragePolicyStd             0.929925
2021-04-08 16:01:39.389802 CEST | AveragePolicyStd             0.929925
2021-04-08 16:01:39.389953 CEST | AveragePolicyStd             0.929925
2021-04-08 16:01:39.390104 CEST | TransfBits               51040
2021-04-08 16:01:39.390261 CEST | TotalAverageReturn         420.345
2021-04-08 16:01:39.390417 CEST | -----------------------  ---------------
2021-04-08 16:01:40.871196 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #11 | fitting baseline...
2021-04-08 16:01:40.871868 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #11 | fitted
2021-04-08 16:01:40.872947 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #11 | fitting baseline...
2021-04-08 16:01:40.873470 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #11 | fitted
2021-04-08 16:01:40.874516 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #11 | fitting baseline...
2021-04-08 16:01:40.875037 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #11 | fitted
2021-04-08 16:01:40.876286 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #11 | fitting baseline...
2021-04-08 16:01:40.876847 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #11 | fitted
2021-04-08 16:01:40.877904 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #11 | fitting baseline...
2021-04-08 16:01:40.878472 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #11 | fitted
2021-04-08 16:01:40.879653 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #11 | fitting baseline...
2021-04-08 16:01:40.880319 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #11 | fitted
2021-04-08 16:01:40.881318 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #11 | fitting baseline...
2021-04-08 16:01:40.881845 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #11 | fitted
2021-04-08 16:01:40.882807 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #11 | fitting baseline...
2021-04-08 16:01:40.883337 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #11 | fitted
2021-04-08 16:01:40.884233 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #11 | fitting baseline...
2021-04-08 16:01:40.884664 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #11 | fitted
2021-04-08 16:01:40.885642 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #11 | fitting baseline...
2021-04-08 16:01:40.886107 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #11 | fitted
2021-04-08 16:01:42.486745 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #12 | fitting baseline...
2021-04-08 16:01:42.487476 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #12 | fitted
2021-04-08 16:01:42.488889 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #12 | fitting baseline...
2021-04-08 16:01:42.489583 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #12 | fitted
2021-04-08 16:01:42.490650 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #12 | fitting baseline...
2021-04-08 16:01:42.491193 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #12 | fitted
2021-04-08 16:01:42.492271 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #12 | fitting baseline...
2021-04-08 16:01:42.492790 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #12 | fitted
2021-04-08 16:01:42.493967 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #12 | fitting baseline...
2021-04-08 16:01:42.494500 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #12 | fitted
2021-04-08 16:01:42.495496 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #12 | fitting baseline...
2021-04-08 16:01:42.495970 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #12 | fitted
2021-04-08 16:01:42.497068 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #12 | fitting baseline...
2021-04-08 16:01:42.497629 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #12 | fitted
2021-04-08 16:01:42.498649 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #12 | fitting baseline...
2021-04-08 16:01:42.499267 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #12 | fitted
2021-04-08 16:01:42.500390 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #12 | fitting baseline...
2021-04-08 16:01:42.500910 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #12 | fitted
2021-04-08 16:01:42.501828 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #12 | fitting baseline...
2021-04-08 16:01:42.502278 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #12 | fitted
2021-04-08 16:01:44.087796 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #13 | fitting baseline...
2021-04-08 16:01:44.088449 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #13 | fitted
2021-04-08 16:01:44.089591 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #13 | fitting baseline...
2021-04-08 16:01:44.090220 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #13 | fitted
2021-04-08 16:01:44.091453 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #13 | fitting baseline...
2021-04-08 16:01:44.092000 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #13 | fitted
2021-04-08 16:01:44.093129 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #13 | fitting baseline...
2021-04-08 16:01:44.093650 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #13 | fitted
2021-04-08 16:01:44.094525 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #13 | fitting baseline...
2021-04-08 16:01:44.094951 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #13 | fitted
2021-04-08 16:01:44.096221 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #13 | fitting baseline...
2021-04-08 16:01:44.096817 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #13 | fitted
2021-04-08 16:01:44.097833 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #13 | fitting baseline...
2021-04-08 16:01:44.098315 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #13 | fitted
2021-04-08 16:01:44.099324 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #13 | fitting baseline...
2021-04-08 16:01:44.099784 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #13 | fitted
2021-04-08 16:01:44.100814 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] itr #13 | fitting baseline...
