2021-04-08 10:49:00.347166 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populating workers...
2021-04-08 10:49:00.347606 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populated
2021-04-08 10:49:00.347864 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populating workers...
2021-04-08 10:49:00.348103 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populated
2021-04-08 10:49:00.348340 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populating workers...
2021-04-08 10:49:00.348569 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populated
2021-04-08 10:49:00.348798 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populating workers...
2021-04-08 10:49:00.349026 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populated
2021-04-08 10:49:00.349252 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populating workers...
2021-04-08 10:49:00.349477 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populated
2021-04-08 10:49:00.349700 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populating workers...
2021-04-08 10:49:00.349927 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populated
2021-04-08 10:49:00.350154 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populating workers...
2021-04-08 10:49:00.350377 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populated
2021-04-08 10:49:00.350602 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populating workers...
2021-04-08 10:49:00.350826 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populated
2021-04-08 10:49:00.351053 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populating workers...
2021-04-08 10:49:00.351328 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populated
2021-04-08 10:49:00.351555 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populating workers...
2021-04-08 10:49:00.351783 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populated
2021-04-08 10:49:23.340420 CEST | AveragePolicyStd             0.971633
2021-04-08 10:49:23.340587 CEST | AveragePolicyStd             0.971633
2021-04-08 10:49:23.340752 CEST | AveragePolicyStd             0.971633
2021-04-08 10:49:23.340927 CEST | Iteration                    5
2021-04-08 10:49:23.341104 CEST | AverageDiscountedReturn    237.249
2021-04-08 10:49:23.341299 CEST | AverageReturn              301.359
2021-04-08 10:49:23.341472 CEST | ExplainedVariance           -0.105682
2021-04-08 10:49:23.341651 CEST | NumTrajs                    13
2021-04-08 10:49:23.341826 CEST | Entropy                      1.38407
2021-04-08 10:49:23.342007 CEST | Perplexity                   3.9911
2021-04-08 10:49:23.342175 CEST | StdReturn                  258.737
2021-04-08 10:49:23.342342 CEST | MaxReturn                  839.692
2021-04-08 10:49:23.342513 CEST | MinReturn                    9.9825
2021-04-08 10:49:23.342694 CEST | Iteration                    5
2021-04-08 10:49:23.342860 CEST | AverageDiscountedReturn    282.499
2021-04-08 10:49:23.343040 CEST | AverageReturn              359.849
2021-04-08 10:49:23.343237 CEST | ExplainedVariance            0.350414
2021-04-08 10:49:23.343396 CEST | NumTrajs                    12
2021-04-08 10:49:23.343563 CEST | Entropy                      1.38407
2021-04-08 10:49:23.343737 CEST | Perplexity                   3.9911
2021-04-08 10:49:23.343915 CEST | StdReturn                  242.173
2021-04-08 10:49:23.344081 CEST | MaxReturn                  689.789
2021-04-08 10:49:23.344254 CEST | MinReturn                    9.98254
2021-04-08 10:49:23.344430 CEST | Iteration                    5
2021-04-08 10:49:23.344594 CEST | AverageDiscountedReturn    256.277
2021-04-08 10:49:23.344769 CEST | AverageReturn              309.83
2021-04-08 10:49:23.344943 CEST | ExplainedVariance           -0.144638
2021-04-08 10:49:23.345117 CEST | NumTrajs                    13
2021-04-08 10:49:23.345288 CEST | Entropy                      1.38407
2021-04-08 10:49:23.345461 CEST | Perplexity                   3.9911
2021-04-08 10:49:23.345639 CEST | StdReturn                  171.885
2021-04-08 10:49:23.345811 CEST | MaxReturn                  549.75
2021-04-08 10:49:23.345990 CEST | MinReturn                    0
2021-04-08 10:49:23.346168 CEST | Iteration                    5
2021-04-08 10:49:23.346347 CEST | AverageDiscountedReturn    215.633
2021-04-08 10:49:23.346521 CEST | AverageReturn              262.507
2021-04-08 10:49:23.346689 CEST | ExplainedVariance            0.196087
2021-04-08 10:49:23.346859 CEST | NumTrajs                    15
2021-04-08 10:49:23.347031 CEST | Entropy                      1.38407
2021-04-08 10:49:23.347218 CEST | Perplexity                   3.9911
2021-04-08 10:49:23.347399 CEST | StdReturn                  206.721
2021-04-08 10:49:23.347575 CEST | MaxReturn                  679.809
2021-04-08 10:49:23.347750 CEST | MinReturn                    0
2021-04-08 10:49:23.347924 CEST | Iteration                    5
2021-04-08 10:49:23.348097 CEST | AverageDiscountedReturn    347.873
2021-04-08 10:49:23.348266 CEST | AverageReturn              456.431
2021-04-08 10:49:23.348436 CEST | ExplainedVariance            0.177673
2021-04-08 10:49:23.348611 CEST | NumTrajs                     9
2021-04-08 10:49:23.348789 CEST | Entropy                      1.38407
2021-04-08 10:49:23.348966 CEST | Perplexity                   3.9911
2021-04-08 10:49:23.349140 CEST | StdReturn                  258.458
2021-04-08 10:49:23.349318 CEST | MaxReturn                  999.51
2021-04-08 10:49:23.349488 CEST | MinReturn                  169.869
2021-04-08 10:49:23.349670 CEST | Iteration                    5
2021-04-08 10:49:23.349838 CEST | AverageDiscountedReturn    280.899
2021-04-08 10:49:23.350011 CEST | AverageReturn              349.772
2021-04-08 10:49:23.350186 CEST | ExplainedVariance           -0.0568132
2021-04-08 10:49:23.350353 CEST | NumTrajs                    12
2021-04-08 10:49:23.350526 CEST | Entropy                      1.38407
2021-04-08 10:49:23.350700 CEST | Perplexity                   3.9911
2021-04-08 10:49:23.350878 CEST | StdReturn                  211.372
2021-04-08 10:49:23.351051 CEST | MaxReturn                  789.827
2021-04-08 10:49:23.351259 CEST | MinReturn                    0
2021-04-08 10:49:23.351431 CEST | Iteration                    5
2021-04-08 10:49:23.351598 CEST | AverageDiscountedReturn    223.976
2021-04-08 10:49:23.351769 CEST | AverageReturn              275.826
2021-04-08 10:49:23.351938 CEST | ExplainedVariance            0.0337346
2021-04-08 10:49:23.352109 CEST | NumTrajs                    15
2021-04-08 10:49:23.352280 CEST | Entropy                      1.38407
2021-04-08 10:49:23.352458 CEST | Perplexity                   3.9911
2021-04-08 10:49:23.352635 CEST | StdReturn                  231.285
2021-04-08 10:49:23.352800 CEST | MaxReturn                  999.465
2021-04-08 10:49:23.352963 CEST | MinReturn                   29.9744
2021-04-08 10:49:23.353139 CEST | Iteration                    5
2021-04-08 10:49:23.353316 CEST | AverageDiscountedReturn    276.638
2021-04-08 10:49:23.353493 CEST | AverageReturn              353.673
2021-04-08 10:49:23.353667 CEST | ExplainedVariance           -0.0224897
2021-04-08 10:49:23.353842 CEST | NumTrajs                    13
2021-04-08 10:49:23.354019 CEST | Entropy                      1.38407
2021-04-08 10:49:23.354196 CEST | Perplexity                   3.9911
2021-04-08 10:49:23.354364 CEST | StdReturn                  260.168
2021-04-08 10:49:23.354538 CEST | MaxReturn                  829.662
2021-04-08 10:49:23.354712 CEST | MinReturn                   69.8775
2021-04-08 10:49:23.354895 CEST | Iteration                    5
2021-04-08 10:49:23.355069 CEST | AverageDiscountedReturn    274.114
2021-04-08 10:49:23.355268 CEST | AverageReturn              343.109
2021-04-08 10:49:23.355442 CEST | ExplainedVariance           -0.195222
2021-04-08 10:49:23.355651 CEST | NumTrajs                    12
2021-04-08 10:49:23.355833 CEST | Entropy                      1.38407
2021-04-08 10:49:23.356009 CEST | Perplexity                   3.9911
2021-04-08 10:49:23.356183 CEST | StdReturn                  221.871
2021-04-08 10:49:23.356358 CEST | MaxReturn                  749.612
2021-04-08 10:49:23.356525 CEST | MinReturn                   39.9508
2021-04-08 10:49:23.356738 CEST | Iteration                    5
2021-04-08 10:49:23.356910 CEST | AverageDiscountedReturn    284.713
2021-04-08 10:49:23.357090 CEST | AverageReturn              362.528
2021-04-08 10:49:23.357266 CEST | ExplainedVariance            0.260085
2021-04-08 10:49:23.357437 CEST | NumTrajs                    11
2021-04-08 10:49:23.357610 CEST | Entropy                      1.38407
2021-04-08 10:49:23.357780 CEST | Perplexity                   3.9911
2021-04-08 10:49:23.357964 CEST | StdReturn                  243.492
2021-04-08 10:49:23.358143 CEST | MaxReturn                  749.764
2021-04-08 10:49:23.358318 CEST | MinReturn                   19.9668
2021-04-08 10:49:23.358490 CEST | AveragePolicyStd             0.96573
2021-04-08 10:49:23.358664 CEST | AveragePolicyStd             0.96573
2021-04-08 10:49:23.358835 CEST | AveragePolicyStd             0.96573
2021-04-08 10:49:23.358999 CEST | AveragePolicyStd             0.96573
2021-04-08 10:49:23.359175 CEST | AveragePolicyStd             0.96573
2021-04-08 10:49:23.359322 CEST | AveragePolicyStd             0.96573
2021-04-08 10:49:23.359471 CEST | AveragePolicyStd             0.96573
2021-04-08 10:49:23.359616 CEST | AveragePolicyStd             0.96573
2021-04-08 10:49:23.359767 CEST | AveragePolicyStd             0.96573
2021-04-08 10:49:23.359922 CEST | AveragePolicyStd             0.96573
2021-04-08 10:49:23.360075 CEST | Iteration                    6
2021-04-08 10:49:23.360228 CEST | AverageDiscountedReturn    225.743
2021-04-08 10:49:23.360381 CEST | AverageReturn              280.558
2021-04-08 10:49:23.360533 CEST | ExplainedVariance            0.257688
2021-04-08 10:49:23.360684 CEST | NumTrajs                    14
2021-04-08 10:49:23.360835 CEST | Entropy                      1.37525
2021-04-08 10:49:23.360989 CEST | Perplexity                   3.95608
2021-04-08 10:49:23.361141 CEST | StdReturn                  236.58
2021-04-08 10:49:23.361296 CEST | MaxReturn                  859.701
2021-04-08 10:49:23.361441 CEST | MinReturn                    0
2021-04-08 10:49:23.361590 CEST | Iteration                    6
2021-04-08 10:49:23.361741 CEST | AverageDiscountedReturn    337.259
2021-04-08 10:49:23.361893 CEST | AverageReturn              448.639
2021-04-08 10:49:23.362045 CEST | ExplainedVariance            0.122176
2021-04-08 10:49:23.362205 CEST | NumTrajs                     9
2021-04-08 10:49:23.362360 CEST | Entropy                      1.37525
2021-04-08 10:49:23.362510 CEST | Perplexity                   3.95608
2021-04-08 10:49:23.362659 CEST | StdReturn                  286.544
2021-04-08 10:49:23.362814 CEST | MaxReturn                  999.669
2021-04-08 10:49:23.362963 CEST | MinReturn                   89.8553
2021-04-08 10:49:23.363130 CEST | Iteration                    6
2021-04-08 10:49:23.363286 CEST | AverageDiscountedReturn    330.583
2021-04-08 10:49:23.363429 CEST | AverageReturn              476.439
2021-04-08 10:49:23.363572 CEST | ExplainedVariance            0.308452
2021-04-08 10:49:23.363714 CEST | NumTrajs                     9
2021-04-08 10:49:23.363863 CEST | Entropy                      1.37525
2021-04-08 10:49:23.364006 CEST | Perplexity                   3.95608
2021-04-08 10:49:23.364153 CEST | StdReturn                  398.505
2021-04-08 10:49:23.364300 CEST | MaxReturn                  999.687
2021-04-08 10:49:23.364449 CEST | MinReturn                    9.98017
2021-04-08 10:49:23.364596 CEST | Iteration                    6
2021-04-08 10:49:23.364741 CEST | AverageDiscountedReturn    402.915
2021-04-08 10:49:23.364890 CEST | AverageReturn              543.477
2021-04-08 10:49:23.365029 CEST | ExplainedVariance           -6.51519
2021-04-08 10:49:23.365171 CEST | NumTrajs                     8
2021-04-08 10:49:23.365315 CEST | Entropy                      1.37525
2021-04-08 10:49:23.365465 CEST | Perplexity                   3.95608
2021-04-08 10:49:23.365614 CEST | StdReturn                  249.97
2021-04-08 10:49:23.365763 CEST | MaxReturn                  999.659
2021-04-08 10:49:23.365913 CEST | MinReturn                  219.837
2021-04-08 10:49:23.366054 CEST | Iteration                    6
2021-04-08 10:49:23.366192 CEST | AverageDiscountedReturn    330.166
2021-04-08 10:49:23.366372 CEST | AverageReturn              435.328
2021-04-08 10:49:23.366522 CEST | ExplainedVariance           -0.485585
2021-04-08 10:49:23.366675 CEST | NumTrajs                     9
2021-04-08 10:49:23.366815 CEST | Entropy                      1.37525
2021-04-08 10:49:23.366954 CEST | Perplexity                   3.95608
2021-04-08 10:49:23.367113 CEST | StdReturn                  274.292
2021-04-08 10:49:23.367249 CEST | MaxReturn                  969.636
2021-04-08 10:49:23.367434 CEST | MinReturn                   49.9365
2021-04-08 10:49:23.367578 CEST | Iteration                    6
2021-04-08 10:49:23.367721 CEST | AverageDiscountedReturn    445.965
2021-04-08 10:49:23.367858 CEST | AverageReturn              621.115
2021-04-08 10:49:23.368000 CEST | ExplainedVariance            0.456921
2021-04-08 10:49:23.368147 CEST | NumTrajs                     7
2021-04-08 10:49:23.368289 CEST | Entropy                      1.37525
2021-04-08 10:49:23.368429 CEST | Perplexity                   3.95608
2021-04-08 10:49:23.368566 CEST | StdReturn                  251.91
2021-04-08 10:49:23.368708 CEST | MaxReturn                  999.599
2021-04-08 10:49:23.368857 CEST | MinReturn                  119.83
2021-04-08 10:49:23.369005 CEST | Iteration                    6
2021-04-08 10:49:23.369151 CEST | AverageDiscountedReturn    353.244
2021-04-08 10:49:23.369298 CEST | AverageReturn              474.255
2021-04-08 10:49:23.369436 CEST | ExplainedVariance            0.314548
2021-04-08 10:49:23.369583 CEST | NumTrajs                     9
2021-04-08 10:49:23.369731 CEST | Entropy                      1.37525
2021-04-08 10:49:23.369875 CEST | Perplexity                   3.95608
2021-04-08 10:49:23.370030 CEST | StdReturn                  288.106
2021-04-08 10:49:23.370175 CEST | MaxReturn                  999.819
2021-04-08 10:49:23.370322 CEST | MinReturn                   29.944
2021-04-08 10:49:23.370466 CEST | Iteration                    6
2021-04-08 10:49:23.370608 CEST | AverageDiscountedReturn    377.874
2021-04-08 10:49:23.370753 CEST | AverageReturn              499.774
2021-04-08 10:49:23.370899 CEST | ExplainedVariance            0.194195
2021-04-08 10:49:23.371049 CEST | NumTrajs                     8
2021-04-08 10:49:23.371232 CEST | Entropy                      1.37525
2021-04-08 10:49:23.371377 CEST | Perplexity                   3.95608
2021-04-08 10:49:23.371523 CEST | StdReturn                  235.37
2021-04-08 10:49:23.371693 CEST | MaxReturn                  829.628
2021-04-08 10:49:23.371854 CEST | MinReturn                  149.815
2021-04-08 10:49:23.372019 CEST | Iteration                    6
2021-04-08 10:49:23.372184 CEST | AverageDiscountedReturn    358.222
2021-04-08 10:49:23.372344 CEST | AverageReturn              475.327
2021-04-08 10:49:23.372505 CEST | ExplainedVariance           -0.10481
2021-04-08 10:49:23.372666 CEST | NumTrajs                     9
2021-04-08 10:49:23.372836 CEST | Entropy                      1.37525
2021-04-08 10:49:23.372999 CEST | Perplexity                   3.95608
2021-04-08 10:49:23.373159 CEST | StdReturn                  262.578
2021-04-08 10:49:23.373322 CEST | MaxReturn                  869.569
2021-04-08 10:49:23.373488 CEST | MinReturn                   79.9475
2021-04-08 10:49:23.373651 CEST | Iteration                    6
2021-04-08 10:49:23.373817 CEST | AverageDiscountedReturn    412.344
2021-04-08 10:49:23.373980 CEST | AverageReturn              563.973
2021-04-08 10:49:23.374150 CEST | ExplainedVariance           -0.319531
2021-04-08 10:49:23.374312 CEST | NumTrajs                     7
2021-04-08 10:49:23.374475 CEST | Entropy                      1.37525
2021-04-08 10:49:23.374638 CEST | Perplexity                   3.95608
2021-04-08 10:49:23.374827 CEST | StdReturn                  269.874
2021-04-08 10:49:23.374988 CEST | MaxReturn                  999.3
2021-04-08 10:49:23.375165 CEST | MinReturn                  269.748
2021-04-08 10:49:23.375324 CEST | AveragePolicyStd             0.957256
2021-04-08 10:49:23.375488 CEST | AveragePolicyStd             0.957256
2021-04-08 10:49:23.375646 CEST | AveragePolicyStd             0.957256
2021-04-08 10:49:23.375817 CEST | AveragePolicyStd             0.957256
2021-04-08 10:49:23.375970 CEST | AveragePolicyStd             0.957256
2021-04-08 10:49:23.376126 CEST | AveragePolicyStd             0.957256
2021-04-08 10:49:23.376287 CEST | AveragePolicyStd             0.957256
2021-04-08 10:49:23.376452 CEST | AveragePolicyStd             0.957256
2021-04-08 10:49:23.376615 CEST | AveragePolicyStd             0.957256
2021-04-08 10:49:23.376781 CEST | AveragePolicyStd             0.957256
2021-04-08 10:49:23.376942 CEST | Iteration                    7
2021-04-08 10:49:23.377098 CEST | AverageDiscountedReturn    400.427
2021-04-08 10:49:23.377257 CEST | AverageReturn              566.869
2021-04-08 10:49:23.377417 CEST | ExplainedVariance            0.212921
2021-04-08 10:49:23.377578 CEST | NumTrajs                     7
2021-04-08 10:49:23.377734 CEST | Entropy                      1.36743
2021-04-08 10:49:23.377892 CEST | Perplexity                   3.92523
2021-04-08 10:49:23.378047 CEST | StdReturn                  342.604
2021-04-08 10:49:23.378211 CEST | MaxReturn                  999.532
2021-04-08 10:49:23.378372 CEST | MinReturn                   59.9254
2021-04-08 10:49:23.378528 CEST | Iteration                    7
2021-04-08 10:49:23.378686 CEST | AverageDiscountedReturn    350.637
2021-04-08 10:49:23.378849 CEST | AverageReturn              465.341
2021-04-08 10:49:23.379001 CEST | ExplainedVariance            0.0987905
2021-04-08 10:49:23.379189 CEST | NumTrajs                     9
2021-04-08 10:49:23.379352 CEST | Entropy                      1.36743
2021-04-08 10:49:23.379520 CEST | Perplexity                   3.92523
2021-04-08 10:49:23.379683 CEST | StdReturn                  274.329
2021-04-08 10:49:23.379839 CEST | MaxReturn                  999.767
2021-04-08 10:49:23.380002 CEST | MinReturn                  119.878
2021-04-08 10:49:23.380158 CEST | Iteration                    7
2021-04-08 10:49:23.380321 CEST | AverageDiscountedReturn    272.235
2021-04-08 10:49:23.380478 CEST | AverageReturn              345.638
2021-04-08 10:49:23.380649 CEST | ExplainedVariance           -0.191869
2021-04-08 10:49:23.380825 CEST | NumTrajs                    12
2021-04-08 10:49:23.380988 CEST | Entropy                      1.36743
2021-04-08 10:49:23.381142 CEST | Perplexity                   3.92523
2021-04-08 10:49:23.381303 CEST | StdReturn                  246.247
2021-04-08 10:49:23.381460 CEST | MaxReturn                  859.556
2021-04-08 10:49:23.381626 CEST | MinReturn                    0
2021-04-08 10:49:23.381790 CEST | Iteration                    7
2021-04-08 10:49:23.381955 CEST | AverageDiscountedReturn    288.51
2021-04-08 10:49:23.382115 CEST | AverageReturn              357.309
2021-04-08 10:49:23.382273 CEST | ExplainedVariance            0.3102
2021-04-08 10:49:23.382435 CEST | NumTrajs                    12
2021-04-08 10:49:23.382591 CEST | Entropy                      1.36743
2021-04-08 10:49:23.382753 CEST | Perplexity                   3.92523
2021-04-08 10:49:23.382923 CEST | StdReturn                  193.189
2021-04-08 10:49:23.383094 CEST | MaxReturn                  719.591
2021-04-08 10:49:23.383271 CEST | MinReturn                    9.98191
2021-04-08 10:49:23.383423 CEST | Iteration                    7
2021-04-08 10:49:23.383580 CEST | AverageDiscountedReturn    311.382
2021-04-08 10:49:23.383746 CEST | AverageReturn              411.772
2021-04-08 10:49:23.383904 CEST | ExplainedVariance            0.170266
2021-04-08 10:49:23.384073 CEST | NumTrajs                    10
2021-04-08 10:49:23.384227 CEST | Entropy                      1.36743
2021-04-08 10:49:23.384384 CEST | Perplexity                   3.92523
2021-04-08 10:49:23.384552 CEST | StdReturn                  296.998
2021-04-08 10:49:23.384717 CEST | MaxReturn                  999.775
2021-04-08 10:49:23.384883 CEST | MinReturn                   19.9669
2021-04-08 10:49:23.385053 CEST | Iteration                    7
2021-04-08 10:49:23.385208 CEST | AverageDiscountedReturn    433.712
2021-04-08 10:49:23.385370 CEST | AverageReturn              592.228
2021-04-08 10:49:23.385533 CEST | ExplainedVariance            0.290182
2021-04-08 10:49:23.385684 CEST | NumTrajs                     8
2021-04-08 10:49:23.385857 CEST | Entropy                      1.36743
2021-04-08 10:49:23.386020 CEST | Perplexity                   3.92523
2021-04-08 10:49:23.386182 CEST | StdReturn                  233.483
2021-04-08 10:49:23.386347 CEST | MaxReturn                  999.62
2021-04-08 10:49:23.386505 CEST | MinReturn                  309.86
2021-04-08 10:49:23.386664 CEST | Iteration                    7
2021-04-08 10:49:23.386834 CEST | AverageDiscountedReturn    336.664
2021-04-08 10:49:23.386989 CEST | AverageReturn              472.768
2021-04-08 10:49:23.387168 CEST | ExplainedVariance           -0.0318338
2021-04-08 10:49:23.387332 CEST | NumTrajs                    10
2021-04-08 10:49:23.387500 CEST | Entropy                      1.36743
2021-04-08 10:49:23.387668 CEST | Perplexity                   3.92523
2021-04-08 10:49:23.387827 CEST | StdReturn                  371.065
2021-04-08 10:49:23.387996 CEST | MaxReturn                  999.688
2021-04-08 10:49:23.388159 CEST | MinReturn                   29.9595
2021-04-08 10:49:23.388329 CEST | Iteration                    7
2021-04-08 10:49:23.388492 CEST | AverageDiscountedReturn    296.255
2021-04-08 10:49:23.388663 CEST | AverageReturn              417.791
2021-04-08 10:49:23.388825 CEST | ExplainedVariance            0.235565
2021-04-08 10:49:23.388983 CEST | NumTrajs                    10
2021-04-08 10:49:23.389138 CEST | Entropy                      1.36743
2021-04-08 10:49:23.389300 CEST | Perplexity                   3.92523
2021-04-08 10:49:23.389456 CEST | StdReturn                  382.98
2021-04-08 10:49:23.389619 CEST | MaxReturn                  999.745
2021-04-08 10:49:23.389785 CEST | MinReturn                    9.97994
2021-04-08 10:49:23.389955 CEST | Iteration                    7
2021-04-08 10:49:23.390123 CEST | AverageDiscountedReturn    367.508
2021-04-08 10:49:23.390307 CEST | AverageReturn              494.76
2021-04-08 10:49:23.390471 CEST | ExplainedVariance           -0.0601638
2021-04-08 10:49:23.390631 CEST | NumTrajs                     8
2021-04-08 10:49:23.390794 CEST | Entropy                      1.36743
2021-04-08 10:49:23.390959 CEST | Perplexity                   3.92523
2021-04-08 10:49:23.391162 CEST | StdReturn                  291.077
2021-04-08 10:49:23.391325 CEST | MaxReturn                  999.755
2021-04-08 10:49:23.391487 CEST | MinReturn                  159.849
2021-04-08 10:49:23.391658 CEST | Iteration                    7
2021-04-08 10:49:23.391821 CEST | AverageDiscountedReturn    297.412
2021-04-08 10:49:23.391987 CEST | AverageReturn              373.151
2021-04-08 10:49:23.392153 CEST | ExplainedVariance            0.381288
2021-04-08 10:49:23.392305 CEST | NumTrajs                    12
2021-04-08 10:49:23.392469 CEST | Entropy                      1.36743
2021-04-08 10:49:23.392636 CEST | Perplexity                   3.92523
2021-04-08 10:49:23.392805 CEST | StdReturn                  211.7
2021-04-08 10:49:23.392968 CEST | MaxReturn                  799.754
2021-04-08 10:49:23.393126 CEST | MinReturn                    9.98336
2021-04-08 10:49:23.393291 CEST | AveragePolicyStd             0.949791
2021-04-08 10:49:23.393458 CEST | AveragePolicyStd             0.949791
2021-04-08 10:49:23.393624 CEST | AveragePolicyStd             0.949791
2021-04-08 10:49:23.393788 CEST | AveragePolicyStd             0.949791
2021-04-08 10:49:23.393945 CEST | AveragePolicyStd             0.949791
2021-04-08 10:49:23.394117 CEST | AveragePolicyStd             0.949791
2021-04-08 10:49:23.394288 CEST | AveragePolicyStd             0.949791
2021-04-08 10:49:23.394446 CEST | AveragePolicyStd             0.949791
2021-04-08 10:49:23.394607 CEST | AveragePolicyStd             0.949791
2021-04-08 10:49:23.394768 CEST | AveragePolicyStd             0.949791
2021-04-08 10:49:23.394928 CEST | Iteration                    8
2021-04-08 10:49:23.395111 CEST | AverageDiscountedReturn    411.047
2021-04-08 10:49:23.395273 CEST | AverageReturn              563.472
2021-04-08 10:49:23.395435 CEST | ExplainedVariance           -0.222999
2021-04-08 10:49:23.395603 CEST | NumTrajs                     8
2021-04-08 10:49:23.395778 CEST | Entropy                      1.3602
2021-04-08 10:49:23.395962 CEST | Perplexity                   3.89698
2021-04-08 10:49:23.396124 CEST | StdReturn                  275.868
2021-04-08 10:49:23.396285 CEST | MaxReturn                  999.542
2021-04-08 10:49:23.396453 CEST | MinReturn                  249.785
2021-04-08 10:49:23.396613 CEST | Iteration                    8
2021-04-08 10:49:23.396770 CEST | AverageDiscountedReturn    390.509
2021-04-08 10:49:23.396935 CEST | AverageReturn              537.287
2021-04-08 10:49:23.397088 CEST | ExplainedVariance            0.454819
2021-04-08 10:49:23.397258 CEST | NumTrajs                     8
2021-04-08 10:49:23.397423 CEST | Entropy                      1.3602
2021-04-08 10:49:23.397590 CEST | Perplexity                   3.89698
2021-04-08 10:49:23.397753 CEST | StdReturn                  301.163
2021-04-08 10:49:23.397917 CEST | MaxReturn                  999.761
2021-04-08 10:49:23.398075 CEST | MinReturn                   79.9233
2021-04-08 10:49:23.398240 CEST | Iteration                    8
2021-04-08 10:49:23.398403 CEST | AverageDiscountedReturn    328.631
2021-04-08 10:49:23.398565 CEST | AverageReturn              460.805
2021-04-08 10:49:23.398732 CEST | ExplainedVariance            0.083521
2021-04-08 10:49:23.398900 CEST | NumTrajs                    10
2021-04-08 10:49:23.399059 CEST | Entropy                      1.3602
2021-04-08 10:49:23.399253 CEST | Perplexity                   3.89698
2021-04-08 10:49:23.399419 CEST | StdReturn                  373.806
2021-04-08 10:49:23.399580 CEST | MaxReturn                  999.623
2021-04-08 10:49:23.399741 CEST | MinReturn                   59.9588
2021-04-08 10:49:23.399905 CEST | Iteration                    8
2021-04-08 10:49:23.400074 CEST | AverageDiscountedReturn    382.901
2021-04-08 10:49:23.400231 CEST | AverageReturn              522.221
2021-04-08 10:49:23.400389 CEST | ExplainedVariance           -0.0243665
2021-04-08 10:49:23.400558 CEST | NumTrajs                     8
2021-04-08 10:49:23.400717 CEST | Entropy                      1.3602
2021-04-08 10:49:23.400886 CEST | Perplexity                   3.89698
2021-04-08 10:49:23.401042 CEST | StdReturn                  287.125
2021-04-08 10:49:23.401214 CEST | MaxReturn                  999.766
2021-04-08 10:49:23.401368 CEST | MinReturn                   19.9672
2021-04-08 10:49:23.401563 CEST | Iteration                    8
2021-04-08 10:49:23.401727 CEST | AverageDiscountedReturn    394.983
2021-04-08 10:49:23.401894 CEST | AverageReturn              550.997
2021-04-08 10:49:23.402060 CEST | ExplainedVariance            0.26597
2021-04-08 10:49:23.402224 CEST | NumTrajs                     8
2021-04-08 10:49:23.402390 CEST | Entropy                      1.3602
2021-04-08 10:49:23.402554 CEST | Perplexity                   3.89698
2021-04-08 10:49:23.402720 CEST | StdReturn                  317.09
2021-04-08 10:49:23.402881 CEST | MaxReturn                  999.463
2021-04-08 10:49:23.403040 CEST | MinReturn                    0
2021-04-08 10:49:23.403227 CEST | Iteration                    8
2021-04-08 10:49:23.403395 CEST | AverageDiscountedReturn    466.452
2021-04-08 10:49:23.403556 CEST | AverageReturn              672.543
2021-04-08 10:49:23.403727 CEST | ExplainedVariance            0.375156
2021-04-08 10:49:23.403895 CEST | NumTrajs                     7
2021-04-08 10:49:23.404066 CEST | Entropy                      1.3602
2021-04-08 10:49:23.404228 CEST | Perplexity                   3.89698
2021-04-08 10:49:23.404388 CEST | StdReturn                  303.538
2021-04-08 10:49:23.404553 CEST | MaxReturn                  999.533
2021-04-08 10:49:23.404712 CEST | MinReturn                  209.868
2021-04-08 10:49:23.404883 CEST | Iteration                    8
2021-04-08 10:49:23.405055 CEST | AverageDiscountedReturn    339.532
2021-04-08 10:49:23.405210 CEST | AverageReturn              484.172
2021-04-08 10:49:23.405377 CEST | ExplainedVariance            0.351709
2021-04-08 10:49:23.405551 CEST | NumTrajs                     9
2021-04-08 10:49:23.405758 CEST | Entropy                      1.3602
2021-04-08 10:49:23.405940 CEST | Perplexity                   3.89698
2021-04-08 10:49:23.406099 CEST | StdReturn                  382.954
2021-04-08 10:49:23.406259 CEST | MaxReturn                  999.721
